# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	598672	599718	+	ADU73628.1			hypothetical protein			Clo1313_0544	1047	348	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	600178	602202	+							Clo1313_0545	2025		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	600178	602202	+	ADU73629.1			hypothetical protein			Clo1313_0545	2025	674	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	602332	602565	+							Clo1313_0546	234		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	602332	602565	+	ADU73630.1			hypothetical protein			Clo1313_0546	234	77	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	602908	603486	+							Clo1313_0547	579		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	602908	603486	+	ADU73631.1			intracellular protease, PfpI family			Clo1313_0547	579	192	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	603794	604573	+							Clo1313_0548	780		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	603794	604573	+	ADU73632.1			hypothetical protein			Clo1313_0548	780	259	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	604869	606596	+							Clo1313_0549	1728		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	604869	606596	+	ADU73633.1			ABC transporter related protein			Clo1313_0549	1728	575	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	606697	607269	-							Clo1313_0550	573		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	606697	607269	-	ADU73634.1			hypothetical protein			Clo1313_0550	573	190	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	607496	608548	+							Clo1313_0551	1053		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	607496	608548	+	ADU73635.1			phosphate transporter			Clo1313_0551	1053	350	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	608602	609225	+							Clo1313_0552	624		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	608602	609225	+	ADU73636.1			putative phosphate transport regulator			Clo1313_0552	624	207	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	609463	610011	+							Clo1313_0553	549		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	609463	610011	+	ADU73637.1			hypothetical protein			Clo1313_0553	549	182	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	610120	613569	-							Clo1313_0554	3450		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	610120	613569	-	ADU73638.1			hydrogenase, Fe-only			Clo1313_0554	3450	1149	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	613874	615145	+							Clo1313_0555	1272		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	613874	615145	+	ADU73639.1			Peptidoglycan-binding lysin domain			Clo1313_0555	1272	423	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	615240	616109	-							Clo1313_0556	870		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	615240	616109	-	ADU73640.1			ErfK/YbiS/YcfS/YnhG family protein			Clo1313_0556	870	289	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	616155	616847	-							Clo1313_0557	693		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	616155	616847	-	ADU73641.1			Peptidoglycan-binding lysin domain			Clo1313_0557	693	230	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	617010	617681	-							Clo1313_0558	672		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	617010	617681	-	ADU73642.1			Superoxide dismutase			Clo1313_0558	672	223	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	617908	618201	-							Clo1313_0559	294		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	617908	618201	-	ADU73643.1			hypothetical protein			Clo1313_0559	294	97	
gene	pseudogene	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	618351	619108	+							Clo1313_0560	758		pseudo
gene	pseudogene	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	619108	619315	+							Clo1313_0561	208		pseudo
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	619371	619754	+							Clo1313_0562	384		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	619371	619754	+	ADU73644.1			hypothetical protein			Clo1313_0562	384	127	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	620229	622121	+							Clo1313_0563	1893		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	620229	622121	+	ADU73645.1			Carbohydrate binding family 6			Clo1313_0563	1893	630	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	622286	623263	-							Clo1313_0564	978		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	622286	623263	-	ADU73646.1			hydrogenase expression/formation protein HypE			Clo1313_0564	978	325	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	623268	624317	-							Clo1313_0565	1050		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	623268	624317	-	ADU73647.1			hydrogenase expression/formation protein HypD			Clo1313_0565	1050	349	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	624304	624531	-							Clo1313_0566	228		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	624304	624531	-	ADU73648.1			hydrogenase assembly chaperone hypC/hupF			Clo1313_0566	228	75	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	624537	626798	-							Clo1313_0567	2262		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	624537	626798	-	ADU73649.1			(NiFe) hydrogenase maturation protein HypF			Clo1313_0567	2262	753	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	626771	627424	-							Clo1313_0568	654		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	626771	627424	-	ADU73650.1			hydrogenase accessory protein HypB			Clo1313_0568	654	217	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	627440	627778	-							Clo1313_0569	339		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	627440	627778	-	ADU73651.1			hydrogenase expression/synthesis HypA			Clo1313_0569	339	112	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	627723	628109	-							Clo1313_0570	387		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	627723	628109	-	ADU73652.1			4Fe-4S ferredoxin iron-sulfur binding domain-containing protein			Clo1313_0570	387	128	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	628329	629408	-							Clo1313_0571	1080		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	628329	629408	-	ADU73653.1			NADH-ubiquinone oxidoreductase chain 49kDa			Clo1313_0571	1080	359	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	629401	629760	-							Clo1313_0572	360		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	629401	629760	-	ADU73654.1			ech hydrogenase, subunit EchD, putative			Clo1313_0572	360	119	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	629834	630271	-							Clo1313_0573	438		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	629834	630271	-	ADU73655.1			NADH ubiquinone oxidoreductase 20 kDa subunit			Clo1313_0573	438	145	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	630281	631156	-							Clo1313_0574	876		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	630281	631156	-	ADU73656.1			respiratory-chain NADH dehydrogenase subunit 1			Clo1313_0574	876	291	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	631153	633063	-							Clo1313_0575	1911		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	631153	633063	-	ADU73657.1			NADH/Ubiquinone/plastoquinone (complex I)			Clo1313_0575	1911	636	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	633445	633603	-							Clo1313_0576	159		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	633445	633603	-	ADU73658.1			hypothetical protein			Clo1313_0576	159	52	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	633757	634239	-							Clo1313_0577	483		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	633757	634239	-	ADU73659.1			transcription elongation factor GreA/GreB domain-containing protein			Clo1313_0577	483	160	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	634743	636113	+							Clo1313_0578	1371		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	634743	636113	+	ADU73660.1			Citrate synthase			Clo1313_0578	1371	456	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	636213	637409	-							Clo1313_0579	1197		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	636213	637409	-	ADU73661.1			Pyridoxal-dependent decarboxylase			Clo1313_0579	1197	398	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	637933	638424	+							Clo1313_0580	492		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	637933	638424	+	ADU73662.1			CheW protein			Clo1313_0580	492	163	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	638556	641054	+							Clo1313_0581	2499		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	638556	641054	+	ADU73663.1			methyl-accepting chemotaxis sensory transducer with Cache sensor			Clo1313_0581	2499	832	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	641118	641534	-							Clo1313_0582	417		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	641118	641534	-	ADU73664.1			hypothetical protein			Clo1313_0582	417	138	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	641686	642120	+							Clo1313_0583	435		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	641686	642120	+	ADU73665.1			hypothetical protein			Clo1313_0583	435	144	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	642295	642714	+							Clo1313_0584	420		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	642295	642714	+	ADU73666.1			hypothetical protein			Clo1313_0584	420	139	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	642714	643166	+							Clo1313_0585	453		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	642714	643166	+	ADU73667.1			hypothetical protein			Clo1313_0585	453	150	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	643221	644396	-							Clo1313_0586	1176		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	643221	644396	-	ADU73668.1			D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein			Clo1313_0586	1176	391	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	645013	646725	+							Clo1313_0587	1713		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	645013	646725	+	ADU73669.1			methyl-accepting chemotaxis sensory transducer			Clo1313_0587	1713	570	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	646812	647450	+							Clo1313_0588	639		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	646812	647450	+	ADU73670.1			nitroreductase			Clo1313_0588	639	212	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	647662	648369	+							Clo1313_0589	708		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	647662	648369	+	ADU73671.1			copper amine oxidase-like domain-containing protein			Clo1313_0589	708	235	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	648581	651046	+							Clo1313_0590	2466		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	648581	651046	+	ADU73672.1			cell division protein FtsK/SpoIIIE			Clo1313_0590	2466	821	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	651127	651561	+							Clo1313_0591	435		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	651127	651561	+	ADU73673.1			Protein of unknown function DUF2383			Clo1313_0591	435	144	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	651662	652624	+							Clo1313_0592	963		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	651662	652624	+	ADU73674.1			UbiA prenyltransferase			Clo1313_0592	963	320	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	652988	653809	+							Clo1313_0593	822		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	652988	653809	+	ADU73675.1			hypothetical protein			Clo1313_0593	822	273	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	654053	654691	+							Clo1313_0594	639		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	654053	654691	+	ADU73676.1			hypothetical protein			Clo1313_0594	639	212	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	654821	655570	+							Clo1313_0595	750		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	654821	655570	+	ADU73677.1			protein of unknown function DUF975			Clo1313_0595	750	249	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	655736	656185	+							Clo1313_0596	450		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	655736	656185	+	ADU73678.1			FHA domain containing protein			Clo1313_0596	450	149	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	656197	657465	+							Clo1313_0597	1269		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	656197	657465	+	ADU73679.1			cell cycle protein			Clo1313_0597	1269	422	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	657458	658870	+							Clo1313_0598	1413		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	657458	658870	+	ADU73680.1			Peptidoglycan glycosyltransferase			Clo1313_0598	1413	470	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	658973	659638	+							Clo1313_0599	666		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	658973	659638	+	ADU73681.1			DNA repair protein RadC			Clo1313_0599	666	221	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	660301	662076	-							Clo1313_0600	1776		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	660301	662076	-	ADU73682.1			Tetratricopeptide TPR_1 repeat-containing protein			Clo1313_0600	1776	591	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	662402	664585	+							Clo1313_0601	2184		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	662402	664585	+	ADU73683.1			Fibronectin type III domain protein			Clo1313_0601	2184	727	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	664651	665874	+							Clo1313_0602	1224		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	664651	665874	+	ADU73684.1			transposase mutator type			Clo1313_0602	1224	407	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	666245	675166	+							Clo1313_0603	8922		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	666245	675166	+	ADU73685.1			YD repeat protein			Clo1313_0603	8922	2973	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	675166	675723	+							Clo1313_0604	558		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	675166	675723	+	ADU73686.1			hypothetical protein			Clo1313_0604	558	185	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	675837	676226	+							Clo1313_0605	390		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	675837	676226	+	ADU73687.1			hypothetical protein			Clo1313_0605	390	129	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	676219	676356	+							Clo1313_0606	138		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	676219	676356	+	ADU73688.1			hypothetical protein			Clo1313_0606	138	45	
gene	pseudogene	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	676477	676689	+							Clo1313_0607	213		pseudo
gene	pseudogene	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	676783	678564	+							Clo1313_0608	1782		pseudo
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	679003	679482	-							Clo1313_0609	480		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	679003	679482	-	ADU73689.1			hypothetical protein			Clo1313_0609	480	159	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	679715	680254	+							Clo1313_0610	540		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	679715	680254	+	ADU73690.1			phosphotransferase KptA/Tpt1			Clo1313_0610	540	179	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	680477	680719	+							Clo1313_0611	243		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	680477	680719	+	ADU73691.1			hypothetical protein			Clo1313_0611	243	80	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	681439	682821	+							Clo1313_0612	1383		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	681439	682821	+	ADU73692.1			hypothetical protein			Clo1313_0612	1383	460	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	682941	683903	+							Clo1313_0613	963		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	682941	683903	+	ADU73693.1			Cephalosporin-C deacetylase			Clo1313_0613	963	320	
gene	rRNA	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	684465	685980	+							Clo1313_R0017	1516		
rRNA		GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	684465	685980	+				16S ribosomal RNA			Clo1313_R0017	1516		
gene	rRNA	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	686269	689174	+							Clo1313_R0018	2906		
rRNA		GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	686269	689174	+				23S ribosomal RNA			Clo1313_R0018	2906		
gene	rRNA	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	689264	689380	+							Clo1313_R0019	117		
rRNA		GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	689264	689380	+				5S ribosomal RNA			Clo1313_R0019	117		
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	689586	691193	+							Clo1313_0614	1608		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	689586	691193	+	ADU73694.1			polysaccharide biosynthesis protein			Clo1313_0614	1608	535	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	691416	692657	+							Clo1313_0615	1242		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	691416	692657	+	ADU73695.1			hypothetical protein			Clo1313_0615	1242	413	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	692758	693483	+							Clo1313_0616	726		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	692758	693483	+	ADU73696.1			ABC transporter related protein			Clo1313_0616	726	241	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	693470	694222	+							Clo1313_0617	753		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	693470	694222	+	ADU73697.1			membrane spanning protein			Clo1313_0617	753	250	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	694253	695692	+							Clo1313_0618	1440		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	694253	695692	+	ADU73698.1			integral membrane sensor signal transduction histidine kinase			Clo1313_0618	1440	479	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	695710	696402	+							Clo1313_0619	693		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	695710	696402	+	ADU73699.1			two component transcriptional regulator, winged helix family			Clo1313_0619	693	230	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	696551	697141	+							Clo1313_0620	591		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	696551	697141	+	ADU73700.1			sporulation protein YyaC			Clo1313_0620	591	196	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	697438	697614	+							Clo1313_0621	177		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	697438	697614	+	ADU73701.1			protein of unknown function DUF1540			Clo1313_0621	177	58	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	698080	698841	-							Clo1313_0622	762		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	698080	698841	-	ADU73702.1			acyl-ACP thioesterase			Clo1313_0622	762	253	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	699008	699679	+							Clo1313_0623	672		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	699008	699679	+	ADU73703.1			HAD-superfamily hydrolase, subfamily IA, variant 3			Clo1313_0623	672	223	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	699695	700615	+							Clo1313_0624	921		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	699695	700615	+	ADU73704.1			Cof-like hydrolase			Clo1313_0624	921	306	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	700581	702197	+							Clo1313_0625	1617		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	700581	702197	+	ADU73705.1			Protein of unknown function DUF3520			Clo1313_0625	1617	538	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	702391	703683	+							Clo1313_0626	1293		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	702391	703683	+	ADU73706.1			Radical SAM domain protein			Clo1313_0626	1293	430	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	704614	708672	+							Clo1313_0627	4059		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	704614	708672	+	ADU73707.1			cellulosome anchoring protein cohesin region			Clo1313_0627	4059	1352	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	708824	713671	+							Clo1313_0628	4848		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	708824	713671	+	ADU73708.1			cellulosome anchoring protein cohesin region			Clo1313_0628	4848	1615	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	714344	716410	+							Clo1313_0629	2067		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	714344	716410	+	ADU73709.1			cellulosome anchoring protein cohesin region			Clo1313_0629	2067	688	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	716463	717800	+							Clo1313_0630	1338		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	716463	717800	+	ADU73710.1			cellulosome anchoring protein cohesin region			Clo1313_0630	1338	445	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	717897	718739	-							Clo1313_0631	843		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	717897	718739	-	ADU73711.1			transglutaminase domain-containing protein			Clo1313_0631	843	280	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	719356	719559	+							Clo1313_0632	204		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	719356	719559	+	ADU73712.1			EmrB/QacA family drug resistance transporter			Clo1313_0632	204	67	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	719718	719999	+							Clo1313_0633	282		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	719718	719999	+	ADU73713.1			hypothetical protein			Clo1313_0633	282	93	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	719996	721132	-							Clo1313_0634	1137		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	719996	721132	-	ADU73714.1			rRNA (guanine-N(2)-)-methyltransferase			Clo1313_0634	1137	378	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	721251	722177	-							Clo1313_0635	927		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	721251	722177	-	ADU73715.1			response regulator receiver protein			Clo1313_0635	927	308	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	722391	723662	+							Clo1313_0636	1272		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	722391	723662	+	ADU73716.1			3-phosphoshikimate 1-carboxyvinyltransferase			Clo1313_0636	1272	423	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	723810	724619	+							Clo1313_0637	810		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	723810	724619	+	ADU73717.1			sporulation transcriptional activator Spo0A			Clo1313_0637	810	269	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	724679	724954	-							Clo1313_0638	276		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	724679	724954	-	ADU73718.1			histone family protein DNA-binding protein			Clo1313_0638	276	91	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	725146	725556	-							Clo1313_0639	411		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	725146	725556	-	ADU73719.1			UspA domain-containing protein			Clo1313_0639	411	136	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	725868	726710	+							Clo1313_0640	843		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	725868	726710	+	ADU73720.1			hydro-lyase, Fe-S type, tartrate/fumarate subfamily, alpha subunit			Clo1313_0640	843	280	
