Protein	Pannzer
WP_003517772.1	ABC transporter transmembrane region(0.350474355158)
WP_003518182.1	ATPase with chaperone activity, ATP-binding domain, diverged(0.410909615693)
WP_003511591.1	Glycosyltransferase(0.413509198583)
WP_003518334.1	CDP-D-glucose-4 6-dehydratase(0.732167811365)
WP_003513424.1	Putative metallo-hydrolase YycJ(0.470288489986)
WP_003515068.1	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD(0.426019071782)
WP_003521619.1	Two-component system phosphate regulon sensor histidine kinase PhoR(0.327805170383)
WP_003519267.1	Serine/threonine-protein kinase PknD(0.464048192143)
WP_003512578.1	PHP domain(0.423176903556)
WP_003517447.1	Phosphoribosylamine--glycine ligase(0.649991874034)
WP_003514847.1	Chemotaxis signal transduction protein CheW(0.494730958451)
WP_003512659.1	Sulfide dehydrogenase subunit beta(0.474247848563)
WP_003519502.1	Cell division membrane protein-like protein(0.785790137899)
WP_003516355.1	GNAT family N-acetyltransferase [Ruminiclostridium thermocellum](0.278891174796)
WP_003516867.1	PAS domain-containing protein [Ruminiclostridium thermocellum](0.316275597835)
WP_003515533.1	tRNA pseudouridine synthase B(0.498936152543)
WP_003516619.1	Type IV pilus biogenesis protein PilM(0.506656798994)
WP_003520963.1	Indolepyruvate oxidoreductase subunit IorA(0.76390068805)
WP_003518318.1	Signal peptide peptidase SppA(0.548418166567)
WP_003516353.1	SCP family extracellular protein(0.595502966995)
WP_003517810.1	Predicted exporters of the RND superfamily(0.711029440315)
WP_003516556.1	AAA domain containing protein(0.40898788518)
WP_003518486.1	S-adenosylmethionine synthase(0.660051902414)
WP_003517985.1	Flagellar biosynthesis protein FlhG(0.629979255449)
WP_003512265.1	UDP-glucose 4-epimerase GalE(0.431265644016)
WP_014522631.1	Methyl-accepting chemotaxis sensory transducer(0.362701407)
WP_003516377.1	Pyridoxal phosphate homeostasis protein(0.520335788959)
WP_003517550.1	Ribosomal protein L25 (General stress protein Ctc)(0.302449776323)
WP_003521240.1	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase(0.633499081669)
WP_003514317.1	UvrABC system protein C(0.521984994584)
WP_003516613.1	NikR nickel binding(0.779064948979)
WP_003517870.1	Stage V sporulation protein AD(0.783034950938)
WP_003514309.1	Elongation factor Tu-A(0.485181554445)
WP_003518605.1	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1(0.497135630613)
WP_003514647.1	50S ribosomal protein L5(0.516232515126)
WP_003516611.1	4-oxalocrotonate tautomerase [Ruminiclostridium thermocellum](0.785675727224)
WP_003512125.1	Putative gluconeogenesis factor(0.697534810371)
WP_003515896.1	Inactive homolog of metal-dependent proteases(0.455934512977)
WP_003518360.1	HTH-type transcriptional regulator CymR(0.395940607993)
WP_003513824.1	Type IV pilus assembly PilZ(0.415980076193)
WP_003516617.1	Cysteine desulfurase SufS(0.432851468133)
WP_003516363.1	3-dehydroquinate synthase(0.608624616971)
WP_003517828.1	glycoside hydrolase [Ruminiclostridium thermocellum](0.355875811084)
WP_003515794.1	His Kinase A domain protein(0.296926427436)
WP_003515537.1	Ribosome-binding factor A(0.557733072211)
WP_003516254.1	Endoglucanase G(0.627403665784)
WP_003520957.1	Thiamine-phosphate synthase(0.461735750443)
WP_003514653.1	50S ribosomal protein L6(0.528680368592)
WP_003514820.1	DUF975 domain-containing protein [Ruminiclostridium thermocellum](0.583379620095)
WP_003512663.1	Regulatory sensor-transducer(0.551530007887)
ADU75281.1	SdpI/YhfL protein family protein(0.559705169458)
WP_003517114.1	SGNH/GDSL hydrolase family protein [Ruminiclostridium thermocellum](0.523704169968)
WP_003511903.1	Arsenate-mycothiol transferase ArsC2(0.332498571268)
WP_003520986.1	Bifunctional 4-hydroxy-3-methylbut-2-enyl diphosphate reductase/30S ribosomal protein S1(0.651588083331)
WP_003512661.1	GMP synthase [glutamine-hydrolyzing](0.555667064813)
WP_003517000.1	DNA-directed RNA polymerase subunit omega(0.54550061699)
WP_003516993.1	Histidine kinase of the competence regulon ComD(0.461213882876)
WP_003514315.1	Phosphotransferase system phosphocarrier protein HPr(0.529000700692)
WP_003511911.1	ferritin [Ruminiclostridium thermocellum](0.610972262253)
WP_003517446.1	TPR repeat-containing protein(0.279155088392)
WP_003517022.1	Heat-inducible transcription repressor HrcA(0.557287322374)
WP_003514104.1	PTS fructose transporter subunit IIBC(0.37859457137)
WP_003512504.1	3D domain-containing protein(0.403584534959)
WP_003513513.1	V-type ATP synthase beta chain(0.766429044864)
WP_003517181.1	Glutamine synthetase catalytic region(0.473767122193)
WP_003514333.1	Membrane-bound lytic murein transglycosylase F(0.349735488507)
WP_003513428.1	FMN-binding domain protein(0.393344489012)
WP_003514791.1	RanBP2-type domain-containing protein(0.279706652152)
WP_003513834.1	Transcriptional regulator YqjI(0.362695418678)
WP_003513053.1	Glycosyl transferases group 1(0.29937639052)
WP_003517183.1	Pyruvate/ketoisovalerate oxidoreductase catalytic domain(0.597057340956)
WP_003516217.1	Acyl-phosphate glycerol 3-phosphate acyltransferase(0.458828942665)
WP_003515959.1	Putative RNase toxin 35 of polymorphic toxin system(0.824273449697)
WP_003514331.1	tRNA N6-adenosine threonylcarbamoyltransferase(0.55967593153)
WP_003513509.1	ABC-F type ribosomal protection protein(0.471385737916)
WP_003514793.1	Polysaccharide biosynthesis protein GtrA(0.607783655565)
WP_003519075.1	tetratricopeptide repeat protein [Ruminiclostridium thermocellum](0.269068451904)
WP_003517002.1	Guanylate kinase(0.498416190633)
WP_003516256.1	Cell dividion protein FtsZ(0.414086843282)
WP_003512078.1	Methylglyoxal synthase(0.677207375596)
WP_003511931.1	pimeloyl-CoA synthetase [Ruminiclostridium thermocellum](0.482407534199)
WP_003514651.1	Ribosomal protein S8(0.520241677742)
WP_003513382.1	Small acid-soluble spore protein alpha/beta type(0.707469036588)
WP_003512932.1	Flagellar basal-body rod protein FlgG, Gram-negative bacteria/flagellar basal-body rod protein FlgF(0.429423798813)
WP_003513418.1	Transcriptional regulatory protein YycF(0.336990254211)
WP_003516528.1	Amino acid-binding ACT(0.506977983727)
WP_003512074.1	Septum formation inhibitor-activating ATPase(0.631623370531)
WP_003519436.1	Multidrug ABC transporter permease(0.429126796936)
WP_003512048.1	Arginine biosynthesis bifunctional protein ArgJ(0.559688889262)
WP_003519059.1	Putative iron hydrogenase, electron-transfer subunit(0.541650418707)
WP_003512072.1	septum site-determining protein MinC [Ruminiclostridium thermocellum](0.468607984604)
WP_003515981.1	Response regulator transcription factor(0.30342018344)
WP_003520979.1	lysine transporter LysE [Ruminiclostridium thermocellum](0.435530659143)
WP_003518229.1	Chemotaxis regulator-transmits chemoreceptor signals to flagelllar motor components CheY(0.383525171907)
WP_003520694.1	Site-specific recombinase, DNA invertase Pin(0.389902528635)
WP_003517016.1	Chaperone protein DnaJ(0.535734468433)
WP_003513128.1	Ketol-acid reductoisomerase (NADP(+))(0.666899976036)
WP_003518316.1	Putative manganese efflux pump MntP(0.688569356279)
WP_003519067.1	Thioredoxin-like ferredoxin(0.524277579433)
WP_003518135.1	Ribosomal RNA large subunit methyltransferase H(0.53208854846)
WP_003514216.1	DNA polymerase III delta prime subunit(0.339393042362)
WP_003517014.1	Ribosomal protein L11 methyltransferase(0.570132910665)
WP_003514102.1	CRISPR-associated RAMP protein [Ruminiclostridium thermocellum](0.78398467446)
WP_003513515.1	V-type ATP synthase alpha chain(0.733419333447)
WP_003517913.1	Sporulation protein YlmC/YmxH family(0.776472741904)
WP_003516504.1	Phosphomethylpyrimidine synthase(0.620484294235)
WP_003516873.1	S-layer domain-containing protein(0.325405086811)
WP_003518641.1	Helicase(0.443123525326)
WP_003517343.1	Purine nucleoside phosphorylase DeoD-type(0.519451715793)
WP_003516266.1	Copper chaperone copper-ion-binding protein CopZ(0.587123984434)
WP_003516013.1	DUF4314 domain-containing protein [Ruminiclostridium thermocellum](0.712109809785)
WP_003518239.1	Preprotein translocase subunit SecA(0.520484100876)
WP_037295047.1	Ribosome-recycling factor(0.576259594674)
WP_003517033.1	R-phenyllactate dehydratase activator(0.637850455446)
WP_003518957.1	GyrI-like domain-containing protein(0.462380471089)
WP_003512219.1	RNA-binding protein YqeI(0.493659913304)
WP_003518454.1	S-layer homology domain-containing protein [Ruminiclostridium thermocellum](0.733065924351)
WP_003514776.1	ABC transporter substrate-binding protein [Ruminiclostridium thermocellum](0.376453066852)
WP_003513814.1	Cell division protein FtsX(0.448715490351)
WP_003512861.1	septation inhibitor protein [Ruminiclostridium thermocellum](0.469809169016)
WP_003517018.1	Chaperone protein DnaK(0.557286441689)
WP_003516262.1	Cellulosome anchoring protein cohesin region(0.786649580548)
WP_003516532.1	FeoB-associated Cys-rich membrane protein [Ruminiclostridium thermocellum](0.530892380957)
WP_003519208.1	Multidrug transporter MatE(0.385920609028)
WP_003516003.1	Adenine-specific methyltransferase(0.480174147301)
WP_003512863.1	sporulation protein YabP [Ruminiclostridium thermocellum](0.674330746374)
WP_003516465.1	Chromosomal replication initiator protein DnaA(0.513461782741)
WP_003519346.1	Integral membrane sensor signal transduction histidine kinase(0.33168757908)
WP_080514905.1	Site-specific DNA recombinase(0.372556230272)
WP_003513628.1	DUF2179 domain-containing protein (Fragment)(0.243332810581)
WP_003513072.1	Alpha-N-arabinofuranosidase(0.556191905005)
WP_003518237.1	Folylpolyglutamate synthase,Folylpolyglutamate synthase,bifunctional folylpolyglutamate synthase/ dihydrofolate synthase,Folylpolyglutamate synthase,bifunctional protein FolC,Mur ligase middle domain(0.496693369583)
WP_003515613.1	Beta-barrel assembly-enhancing protease(0.335419886954)
WP_003517043.1	FHA domain-containing protein [Ruminiclostridium thermocellum](0.319062524754)
WP_003511954.1	Strongly similar to small heat shock protein(0.446832742978)
WP_003517747.1	Type II restriction enzyme MjaIII(0.525502079998)
WP_003516001.1	Methyltransferase(0.486124046878)
WP_003514229.1	ABC-type nitrate/sulfonate/bicarbonate transport system ATPase subunit(0.437841454862)
WP_003513915.1	Glutamate racemase(0.540398502009)
WP_003514218.1	Thymidylate kinase(0.538225236331)
WP_003512514.1	RNA polymerase sigma factor SigI(0.673929403588)
WP_003516178.1	rRNA methylase YtqB(0.49929025691)
WP_003512015.1	Rubredoxin(0.634016518001)
WP_003516932.1	Enoate reductase(0.326263953999)
WP_003516105.1	copper amine oxidase [Ruminiclostridium thermocellum](0.5655121403)
WP_003514562.1	dockerin [Ruminiclostridium thermocellum](0.786224870807)
WP_003512705.1	Endoglucanase(0.463765247882)
WP_003513505.1	Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily(0.783978840011)
WP_003515625.1	DNA ligase(0.511086387885)
WP_003514694.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase(0.664083133423)
WP_003513388.1	UDP-galactose phosphate transferase(0.5149401301)
WP_003512190.1	Putative pre-16S rRNA nuclease(0.570031494322)
WP_003516986.1	Radical SAM/SPASM domain protein, ACGX system(0.499776196334)
WP_003513507.1	dockerin [Ruminiclostridium thermocellum](0.784336223965)
WP_003515331.1	Iron-sulfur cluster repair protein YtfE(0.702496569989)
WP_003514696.1	Sodium transport system ATP-binding protein(0.709828551315)
WP_003517494.1	Methyl-accepting chemotaxis sensory transducer(0.272070615829)
WP_003513065.1	radical SAM/SPASM domain-containing protein [Ruminiclostridium thermocellum](0.40387811303)
WP_003516312.1	50S ribosomal protein L19(0.541157972178)
WP_003512405.1	Gamma-glutamyl phosphate reductase(0.569268000979)
WP_003515333.1	3' terminal RNA ribose 2'-O-methyltransferase Hen1(0.789253493584)
WP_003518233.1	Putative esterase of the alpha-beta hydrolase superfamily(0.393230187241)
WP_003514690.1	Glucokinase /transcriptional regulator(0.564481180583)
WP_003520661.1	copper amine oxidase [Ruminiclostridium thermocellum](0.567150552936)
WP_003512194.1	Lipoprotein YerB(0.471128104426)
WP_003512877.1	Tyrosine-protein kinase transmembrane modulator EpsC(0.388852747502)
WP_003519055.1	(2Fe-2S) ferredoxin domain-containing protein(0.508032918194)
WP_004463821.1	Mobile element protein(0.297631434766)
WP_003516988.1	Accessory gene regulator B(0.614273079974)
WP_003518652.1	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA(0.583926532667)
WP_003519057.1	Stage II sporulation protein E(0.427763707432)
WP_003515310.1	Methylmalonyl-CoA mutase C-terminal domain-containing protein/methyltransferase cognate corrinoid proteins(0.784519570744)
WP_003517110.1	Antiterminator LoaP(0.448915249095)
WP_003518937.1	ATP-dependent dethiobiotin synthetase BioD(0.434665562816)
WP_003513565.1	Flagellar biosynthesis anti-sigma factor FlgM(0.494686583522)
WP_003513162.1	ferrous iron transporter A [Ruminiclostridium thermocellum](0.540717571702)
WP_014522605.1	Mobile element protein(0.324618695821)
WP_003518865.1	Sporulation protein YhbH (Fragment)(0.254086435818)
WP_003518674.1	ABC transporter ATP-binding protein YvcR(0.312871575311)
WP_003516455.1	Pyruvate ferredoxin oxidoreductase delta subunit(0.693446709845)
WP_003517868.1	UDP-N-acetylenolpyruvoylglucosamine reductase(0.606635784895)
WP_003516862.1	Abortive infection protein(0.3677247347)
WP_003514559.1	Peptidase C39 bacteriocin processing(0.481730548398)
WP_003516459.1	Vancomycin B-type resistance protein VanW(0.434563338248)
WP_003519464.1	DUF4474 domain-containing protein (Fragment)(0.784182837048)
WP_003518626.1	Dihydroorotate dehydrogenase(0.62751810815)
WP_003513575.1	Flagellar assembly factor FliW(0.648645214967)
WP_003514543.1	HlyC/CorC family transporter(0.473854776652)
WP_003513354.1	Membrane protein insertion efficiency factor YidD(0.512371819101)
WP_003515632.1	30S ribosomal protein S20(0.50035796945)
WP_003515650.1	Rhomboid protease GluP(0.29858934576)
WP_003514545.1	HTH-type transcriptional activator TipA(0.402062487875)
WP_003515634.1	DNA polymerase III subunit delta(0.326656664961)
WP_003513304.1	Tetracycline resistance protein TetP(0.401131941146)
WP_003515283.1	Na/Pi cotransporter(0.685799914004)
WP_003513139.1	DUF951 domain-containing protein(0.707265934992)
WP_003516648.1	Spore germination protein GerKC(0.456653381067)
WP_003517100.1	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase(0.393255747909)
WP_003512612.1	CoA-substrate-specific enzyme activase(0.713780776226)
WP_003513137.1	Serine protease HtrA(0.352936294646)
WP_003514893.1	Isoquinoline 1-oxidoreductase protein(0.555013209408)
WP_003513602.1	acyl carrier protein [Ruminiclostridium thermocellum](0.475166116541)
WP_003514120.1	RNA polymerase sporulation specific sigma factor SigH(0.531566225955)
WP_003520521.1	Predicted stage IV sporulation protein B(0.708382879122)
WP_003514698.1	ABC-type Na+ efflux pump, permease component(0.310671368394)
WP_003521658.1	ATPase [Ruminiclostridium thermocellum](0.324777482702)
WP_003518337.1	Methyltransferase FkbM(0.34621636509)
WP_003516665.1	Site-specific tyrosine recombinase XerD(0.481172261124)
WP_003512626.1	Thioredoxin(0.448349739676)
WP_003515390.1	Phosphoribose diphosphate--decaprenyl-phosphate phosphoribosyltransferase(0.701364051582)
WP_003513620.1	Flagellar biosynthesis protein FliS(0.658414261894)
WP_003517498.1	Serpin (Serine protease inhibitor)(0.448435691553)
WP_080547383.1	Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist(0.470500866261)
ADU74909.1	Peptide chain release factor 2(0.506307483731)
WP_003516317.1	30S ribosomal protein S16(0.54195707914)
WP_003513622.1	Flagellar biosynthesis protein FlgN(0.454449388557)
WP_003520894.1	Bifunctional ligase/repressor BirA(0.661117612877)
WP_003512097.1	Predicted NAD-dependent butanol dehydrogenase(0.539478933043)
WP_003517796.1	NUDIX hydrolase(0.317803859149)
WP_003514578.1	Phosphoribosylaminoimidazole-succinocarboxamide synthase(0.630751519913)
WP_003516863.1	50S ribosomal protein L31(0.553494666141)
WP_080550888.1	Reactive intermediate/imine deaminase(0.348810168443)
WP_003512801.1	2-aminoadipate transaminase LysN(0.369504853422)
WP_003514114.1	CRISPR-associated protein, TM1812 family(0.624854264276)
WP_003515767.1	Type II secretion system protein GspE(0.432534155022)
ADU75731.1	Exoglucanase(0.768504357407)
WP_003516319.1	Signal recognition particle protein(0.540806138164)
WP_003513279.1	Thiamine pyrophosphate protein domain protein TPP-binding(0.562937463828)
WP_003514376.1	Pyruvate kinase(0.510756912996)
WP_003518070.1	proteinase IV [Ruminiclostridium thermocellum](0.481470993932)
WP_003511648.1	ZIP zinc transporter(0.539461158791)
WP_003512350.1	radical SAM protein [Ruminiclostridium thermocellum](0.425844336471)
WP_003517314.1	Beta-lactamase repressor BlaI(0.583745779624)
WP_003519241.1	Sulfate starvation-induced protein 7(0.434038964636)
WP_003518072.1	Sodium/proton antiporter, CPA1 family(0.480661333103)
WP_003517272.1	Lipoprotein signal peptidase(0.491695483021)
WP_003516877.1	Amine oxidase(0.46916751952)
WP_003516841.1	Diguanylate cyclase with GAF sensor(0.26453130358)
WP_003512622.1	Mutator family transposase(0.592991710954)
WP_003513275.1	HTH-type transcriptional repressor RghR(0.446648478229)
WP_004463712.1	Ribosomal RNA small subunit methyltransferase E(0.502174294355)
WP_003521553.1	Anti-sigma regulatory factor(0.44900634352)
WP_003512354.1	Acetyltransferases, including N-acetylases of ribosomal proteins(0.327230088877)
WP_003511996.1	Anti-SigV factor(0.810847186745)
WP_003512516.1	Anti-sigma-I factor RsgI3(0.78839160406)
WP_003511596.1	Dolichyl-phosphate-mannose--protein mannosyltransferase(0.405505043698)
WP_003512371.1	copper amine oxidase [Ruminiclostridium thermocellum](0.512154958763)
WP_003517442.1	Nicotinate-nucleotide adenylyltransferase(0.579010239052)
WP_003516879.1	Carbohydrate-active enzyme(0.504395987302)
WP_003517997.1	Aminodeoxychorismate lyase(0.538603741664)
ADU75615.1	Deoxyribose-phosphate aldolase(0.679738093744)
WP_003517235.1	GTP cyclohydrolase 1 type 2(0.68986535472)
WP_003517444.1	GNAT family N-acetyltransferase(0.405915029202)
WP_003514180.1	Metalloenzyme(0.719105072417)
WP_003518582.1	DUF218 domain-containing protein(0.681073520472)
WP_003513265.1	NEAT domain-containing protein(0.745227320522)
WP_003517957.1	DUF615 domain-containing protein(0.678995965699)
WP_003518453.1	D-alanine--D-alanine ligase(0.6173546931)
WP_003517233.1	Response regulator receiver modulated metal dependent phosphohydrolase(0.280528291839)
WP_003517215.1	GGDEF domain-containing protein [Ruminiclostridium thermocellum](0.261923985473)
WP_003515021.1	50S ribosomal protein L11(0.535040552582)
WP_003519108.1	competence protein ComEA [Ruminiclostridium thermocellum](0.351644251187)
WP_003518171.1	Catalytic domain of chitinase A1(0.335320414018)
WP_003517217.1	Regulatory protein, MerR(0.376753315938)
WP_003517581.1	Aryl-phospho-beta-D-glucosidase BglC, GH1 family(0.462404862081)
WP_003518129.1	Glycosyl transferase group 1(0.311203052122)
WP_003515919.1	Outer membrane efflux protein(0.435444195271)
WP_003517633.1	Heptaprenyl diphosphate synthase component I(0.681542161581)
WP_003517583.1	Two-component response regulator, CheY family(0.626255238422)
ADU74289.1	Translation initiation factor IF-2(0.521288745219)
WP_003517991.1	Chemoreceptor glutamine deamidase CheD(0.65879214185)
WP_003516264.1	Phosphopantetheine--protein transferase(0.690918765055)
WP_003520983.1	Segregation and condensation protein B(0.515870970466)
WP_003513147.1	Sporulation-specific protease YabG(0.792670251957)
WP_003516975.1	Probable phosphate starvation inducible protein(0.572960119408)
WP_003517221.1	DNA polymerase I(0.513756735598)
WP_003520981.1	tRNA nucleotidyltransferase(0.48877579707)
WP_003514923.1	Glycosyltransferase 36(0.489074382331)
WP_003517440.1	Putative HD superfamily hydrolase involved in NAD metabolism(0.412489875492)
WP_003514194.1	DUF348 domain-containing protein [Ruminiclostridium thermocellum](0.598017142197)
WP_003516657.1	Pyrroline-5-carboxylate reductase(0.607568175918)
WP_003513284.1	SigmaK-factor processing regulatory protein BofA(0.637589128656)
WP_003515812.1	Urease accessory protein UreG(0.655574700399)
WP_003512099.1	tRNA (guanine-N(7)-)-methyltransferase(0.62049330674)
WP_003513254.1	heavy metal transporter [Ruminiclostridium thermocellum](0.457132084197)
WP_003513534.1	50S ribosomal subunit protein L9(0.535052245429)
WP_003514198.1	TatD deoxyribonuclease(0.455079606036)
WP_003515688.1	Metal dependent phosphohydrolase(0.349817432475)
WP_003515449.1	Cell shape determining protein mreb/mrl(0.581993196626)
WP_014522640.1	pilus assembly protein [Ruminiclostridium thermocellum](0.510952445555)
WP_003515814.1	Urease accessory protein UreD(0.37511882139)
WP_003517595.1	Endoglucanase Z(0.627925657934)
WP_003516785.1	CRISPR-associated RAMP protein [Ruminiclostridium thermocellum](0.702778501693)
WP_003519124.1	Putative two-component membrane permease complex subunit(0.426654994993)
WP_003514433.1	Metal-binding protein(0.292638127797)
WP_003520794.1	phosphoesterase [Ruminiclostridium thermocellum](0.693487132386)
WP_003518592.1	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR(0.47315743668)
WP_003515816.1	Beta-lactamase repressor(0.4802399764)
WP_037294838.1	RNA-binding protein Hfq(0.682467971236)
WP_003514806.1	MPN domain-containing protein (Fragment)(0.434756612563)
WP_003519693.1	Transposase(0.404477414957)
WP_003512628.1	HTH-type transcriptional regulator YugG(0.472481192046)
WP_003513693.1	NAGPA domain-containing protein (Fragment)(0.344720176308)
WP_003517783.1	FMN-dependent NADH-azoreductase 1(0.543849010138)
WP_003519973.1	Sporulation-specific protease YabG(0.787495601779)
WP_003512674.1	Zinc-binding dehydrogenase(0.42879348202)
WP_003518449.1	Spore gernimation protein GerMN(0.787326097865)
WP_003515939.1	Metalloendopeptidase-like membrane protein(0.305731369913)
WP_003517930.1	Secondary thiamine-phosphate synthase enzyme(0.714697321813)
WP_003515408.1	TraB determinant protein(0.432678179729)
WP_003516547.1	Purine nucleoside phosphorylase(0.523269245145)
WP_003512676.1	Carbohydrate kinase(0.436596505048)
WP_003519130.1	Winged helix-turn-helix transcriptional regulator(0.328798661984)
WP_003519977.1	glycosyl transferase family 39 [Ruminiclostridium thermocellum](0.583402912336)
WP_003515176.1	Polysaccharide biosynthesis protein GtrA(0.432242908684)
WP_003512791.1	O-antigen polymerase(0.621098208765)
WP_003513046.1	glycosyl transferase [Ruminiclostridium thermocellum](0.311440615016)
WP_003517779.1	EamA domain(0.43243066368)
WP_003516596.1	Glutamate--tRNA ligase(0.620827468481)
WP_003515686.1	Cytidine deaminase(0.551936139487)
WP_003518679.1	ATP-binding cassette subfamily C bacterial(0.334354883855)
WP_003512076.1	Cell division topological specificity factor(0.652887651028)
WP_003517733.1	Alkaline phosphodiesterase I(0.386894844461)
WP_003514378.1	ADP-ribosylglycohydrolase(0.49929315058)
WP_003513685.1	30S ribosomal protein S18(0.533287725694)
WP_003517561.1	LysM domain-containing protein(0.349810579878)
WP_004463183.1	CheY-P-specific phosphatase CheC(0.694647901478)
WP_003513988.1	Collagen adhesin domain protein(0.788930536215)
WP_003514324.1	ATP-dependent Clp protease proteolytic subunit(0.453439096565)
WP_003513308.1	Sporulation initiation inhibitor protein Soj(0.583157275587)
WP_003518006.1	Oxaloacetate decarboxylase(0.526494471858)
WP_003519106.1	Lipoprotein LpqB, GerMN domain-containing protein(0.563108088816)
WP_003516203.1	Putative phosphatase PhoE(0.366743119331)
WP_003517567.1	Haloacid dehalogenase domain protein hydrolase(0.432362814825)
WP_003515434.1	Nucleoside triphosphate pyrophosphohydrolase MazG(0.5715763064)
WP_003516261.1	Metalloendopeptidase-like membrane protein(0.306519930142)
WP_003519430.1	DUF58 domain-containing protein [Ruminiclostridium thermocellum](0.299693516165)
WP_003513419.1	Two-component system sensor histidine kinase VicK(0.560449690263)
WP_003512781.1	mRNA interferase(0.680273190231)
WP_003514773.1	Cob--com heterodisulfide reductase subunit a(0.369546224675)
WP_003517864.1	M23 family peptidase [Ruminiclostridium thermocellum](0.290188905482)
WP_003518000.1	RNA 2',3'-cyclic phosphodiesterase [Ruminiclostridium thermocellum](0.508110910778)
WP_003519104.1	Threonine--tRNA ligase(0.628052647715)
WP_003512684.1	D-ribose pyranase [Ruminiclostridium thermocellum](0.660507273212)
WP_003518714.1	Two-component system chemotaxis sensor kinase CheA(0.543583401126)
WP_003516205.1	Aminoacetone oxidase family FAD-binding enzyme(0.424858140395)
WP_003513691.1	UTP--glucose-1-phosphate uridylyltransferase(0.657422570122)
WP_080547382.1	Recombinase(0.783508847669)
WP_003511918.1	Nitrogen regulatory protein P-II(0.410164545697)
WP_003518002.1	Formate C-acetyltransferase(0.678683257381)
WP_003518716.1	Two-component system chemotaxis response regulator CheY(0.398792186167)
WP_003517725.1	23S rRNA (-C5)-methyltransferase(0.372447723907)
WP_003512844.1	HTH-type dhaKLM operon transcriptional activator DhaS(0.345024923074)
WP_003512240.1	Lipoteichoic acid synthase LtaS type IVa(0.43203583012)
ADU74393.1	DNA-directed RNA polymerase subunit sigma(0.325862016495)
WP_003518285.1	Ferrous iron transport protein A(0.559089618499)
WP_003511780.1	Broad-substrate range phospholipase C(0.526541059635)
WP_003512242.1	Polysaccharide deacetylase(0.473433879778)
WP_003513819.1	Maltodextrin import ATP-binding protein MsmX(0.338572346051)
WP_003518008.1	Two-component sensor histidine kinase(0.250279006352)
WP_003512026.1	Cellulose 1,4-beta-cellobiosidase (reducing end) CelS(0.698847484885)
WP_003516273.1	Adenylosuccinate lyase(0.554217083255)
WP_003512939.1	Murein DD-endopeptidase MepM(0.364592785872)
WP_003518853.1	5-methylthioadenosine/S-adenosylhomocysteine deaminase(0.786766509047)
WP_003513817.1	Transcriptional regulator CdaR(0.638014763132)
ADU73437.1	DNA polymerase beta domain protein region(0.38037307092)
WP_003517434.1	Leucine--tRNA ligase(0.644598619293)
WP_003517368.1	Putative ABC transporter ATP-binding protein YvrO(0.368788029056)
WP_003513415.1	aspartyl-phosphate phosphatase Spo0E family protein [Ruminiclostridium thermocellum](0.395557152175)
WP_003515917.1	Outer membrane efflux protein(0.384681382706)
WP_003511602.1	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase(0.354877655466)
WP_003517364.1	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE(0.671823382723)
WP_003515376.1	ABC-type transport system involved in multi-copper enzyme maturation, permease component(0.310552132708)
WP_003520686.1	LysM peptidoglycan-binding domain-containing protein [Ruminiclostridium thermocellum](0.476152858744)
WP_003517366.1	GNAT family N-acetyltransferase(0.390690378133)
WP_003519601.1	Purine-binding chemotaxis protein CheW(0.506577002112)
WP_003515378.1	ABC transporter(0.304382830625)
WP_003516483.1	copper amine oxidase [Ruminiclostridium thermocellum](0.392795349608)
WP_003513910.1	Abortive infection protein(0.431553144053)
WP_003513863.1	Intramembrane serine protease GlpG(0.443458505737)
WP_003516171.1	Sporulation protein YtfJ(0.603549945741)
WP_003515606.1	50S ribosomal protein L32 [Ruminiclostridium thermocellum](0.555311257871)
WP_003518283.1	DtxR family transcriptional regulator(0.623120900085)
WP_003517571.1	Bacteriocin ABC transporter ATPase(0.716542863867)
WP_003518301.1	Ferrous-iron efflux pump FieF(0.459956583442)
WP_003519375.1	Cell surface glycoprotein 2 [Ruminiclostridium thermocellum](0.819246741099)
WP_003513932.1	Thioredoxin-disulfide reductase(0.458069298523)
WP_003511676.1	Regulatory sensor-transducer(0.490764511512)
WP_003516077.1	CRISPR-associated protein Csx10(0.805626834092)
WP_003515548.1	DNA polymerase III PolC-type(0.627063568488)
WP_003512852.1	Methyl-accepting chemotaxis sensory transducer(0.337089323342)
WP_003516497.1	Thiazole biosynthesis protein ThiH(0.667365301835)
WP_003521783.1	HTH-type transcriptional regulator CymR(0.466282941373)
WP_003512164.1	4'-phosphopantetheinyl transferase [Ruminiclostridium thermocellum](0.651202497347)
WP_003515546.1	Bacterial ribosome SSU maturation protein RimP(0.535091611266)
