#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
198;WP_003518671.1 hypothetical protein [Hungateiclostridium thermocellum];240;Uncharacterized protein;100.00% [240/240];;;Uniprot (A3DCE0)|Interpro (A3DCE0);KEGG (cth:Cthe_0381)|KEGG GM (cth:Cthe_0381);;NCBI (489614230)|EMBL (CP000568);
199;WP_003512342.1 hypothetical protein [Hungateiclostridium thermocellum];114;Uncharacterized protein;100.00% [114/114];;;Uniprot (A3DBY7)|Interpro (A3DBY7);KEGG (cth:Cthe_0227)|KEGG GM (cth:Cthe_0227);;NCBI (489607901)|EMBL (CP000568);
200;ADU73352.1 hypothetical protein Clo1313_0259 [Hungateiclostridium thermocellum DSM 1313];41;Uncharacterized protein;89.13% [41/46];;;Uniprot (A3DIU4)|Interpro (A3DIU4);KEGG (cth:Cthe_2674)|KEGG GM (cth:Cthe_2674);;NCBI (521293625)|EMBL (CP000568);
201;WP_003514114.1 TIGR02221 family CRISPR-associated protein [Hungateiclostridium thermocellum];610;CRISPR-associated protein TM1812 family;100.00% [610/610];;CRISP Cmr Cluster;Uniprot (A3DH35)|Interpro (A3DH35);KEGG (cth:Cthe_2057)|KEGG GM (cth:Cthe_2057);Interpro (IPR013383)|Interpro (IPR011742)|Interpro (IPR019016)|Pfam (PF09455);NCBI (489609673)|EMBL (CP000568);
202;WP_003513652.1 DUF3784 domain-containing protein [Hungateiclostridium thermocellum];244;bPH_5 domain-containing protein;99.59% [244/245];GO:0016021 - integral component of membrane;;Uniprot (A3DHH5)|Interpro (A3DHH5);KEGG (cth:Cthe_2202)|KEGG GM (cth:Cthe_2202);Interpro (IPR027783)|Interpro (IPR017259)|Pfam (PF10882)|Pfam (PF12650);NCBI (521293469)|EMBL (CP000568);
203;WP_003513277.1 hypothetical protein [Hungateiclostridium thermocellum];279;Uncharacterized protein;100.00% [279/279];GO:0016021 - integral component of membrane;;Uniprot (A3DI17)|Interpro (A3DI17);KEGG (cth:Cthe_2394)|KEGG GM (cth:Cthe_2394);;NCBI (489608836)|EMBL (CP000568);
204;WP_003518131.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
205;WP_003517222.1 hypothetical protein [Hungateiclostridium thermocellum];70;Uncharacterized protein;100.00% [70/70];;;Uniprot (A3DDU2)|Interpro (A3DDU2);KEGG (cth:Cthe_0887)|KEGG GM (cth:Cthe_0887);;NCBI (489612781)|EMBL (CP000568);
206;WP_003511996.1 DUF3298 and DUF4163 domain-containing protein [Hungateiclostridium thermocellum];210;DUF3298 domain-containing protein;100.00% [210/210];;;Uniprot (A3DBG9)|Interpro (A3DBG9);KEGG (cth:Cthe_0057)|KEGG GM (cth:Cthe_0057);Interpro (IPR021729)|Interpro (IPR037126)|Pfam (PF11738);NCBI (489607555)|EMBL (CP000568);
207;WP_003512813.1 hypothetical protein [Hungateiclostridium thermocellum];113;Uncharacterized protein;100.00% [113/113];GO:0016021 - integral component of membrane;;Uniprot (A3DIV2)|Interpro (A3DIV2);KEGG (cth:Cthe_2682)|KEGG GM (cth:Cthe_2682);;NCBI (489608372)|EMBL (CP000568);
208;WP_003514556.1 hypothetical protein [Hungateiclostridium thermocellum];585;S-layer domain-containing protein;100.00% [585/585];;;Uniprot (A3DJE6)|Interpro (A3DJE6);KEGG (cth:Cthe_2877)|KEGG GM (cth:Cthe_2877);Interpro (IPR020481)|Interpro (IPR038144)|Interpro (IPR001119)|Pfam (PF12690)|Pfam (PF00395);NCBI (489610115)|EMBL (CP000568);
209;WP_003516080.1 hypothetical protein [Hungateiclostridium thermocellum];283;Uncharacterized protein;56.49% [283/501];;;Uniprot (A0A3D2NZX8)|Interpro (A0A3D2NZX8);;;EMBL (DPSW01000358);
210;WP_003514372.1 hypothetical protein [Hungateiclostridium thermocellum];59;Uncharacterized protein;100.00% [59/59];GO:0016021 - integral component of membrane;;Uniprot (G2JCD8)|Interpro (G2JCD8);KEGG (cth:Cthe_3409)|KEGG GM (cth:Cthe_3409);;NCBI (489609931)|EMBL (CP000568);
211;WP_003517217.1 hypothetical protein [Hungateiclostridium thermocellum];139;Regulatory protein MerR;100.00% [139/139];;;Uniprot (A3DDT8)|Interpro (A3DDT8);KEGG (cth:Cthe_0883)|KEGG GM (cth:Cthe_0883);;NCBI (489612776)|EMBL (CP000568);
212;WP_003519243.1 hypothetical protein [Hungateiclostridium thermocellum];374;Uncharacterized protein;73.77% [374/507];;;Uniprot (A3DFF9)|Interpro (A3DFF9);KEGG (cth:Cthe_1459)|KEGG GM (cth:Cthe_1459);;NCBI (125714196)|EMBL (CP000568);
213;ADU73431.1 hypothetical protein Clo1313_0340 [Hungateiclostridium thermocellum DSM 1313];57;Uncharacterized protein;100.00% [57/57];;;Uniprot (G2JCD9)|Interpro (G2JCD9);KEGG (cth:Cthe_3410)|KEGG GM (cth:Cthe_3410);;NCBI (345548369)|EMBL (CP000568);
214;WP_003512303.1 hypothetical protein [Hungateiclostridium thermocellum];63;Uncharacterized protein;100.00% [63/63];GO:0016021 - integral component of membrane;;Uniprot (G2JC60)|Interpro (G2JC60);KEGG (cth:Cthe_3303)|KEGG GM (cth:Cthe_3303);;NCBI (489607862)|EMBL (CP000568);
215;WP_003514196.1 hypothetical protein [Hungateiclostridium thermocellum];58;Uncharacterized protein;31.69% [58/183];;;Uniprot (A3DH72)|Interpro (A3DH72);KEGG (cth:Cthe_2094)|KEGG GM (cth:Cthe_2094);;NCBI (489609755)|EMBL (CP000568);
216;WP_003513286.1 YaaL family protein [Hungateiclostridium thermocellum];107;Uncharacterized protein;100.00% [107/107];;DNA processing cluster;Uniprot (A3DI11)|Interpro (A3DI11);KEGG (cth:Cthe_2388)|KEGG GM (cth:Cthe_2388);Interpro (IPR019644)|Pfam (PF10704);NCBI (489608845)|EMBL (CP000568);
217;WP_003517179.1 hypothetical protein [Hungateiclostridium thermocellum];106;Uncharacterized protein;100.00% [106/106];;;Uniprot (A3DDR7)|Interpro (A3DDR7);KEGG (cth:Cthe_0862)|KEGG GM (cth:Cthe_0862);Interpro (IPR024307)|Pfam (PF12788);NCBI (489612738)|EMBL (CP000568);
218;WP_003519509.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];89;Uncharacterized protein;100.00% [89/89];;;Uniprot (A3DGH7)|Interpro (A3DGH7);KEGG (cth:Cthe_1835)|KEGG GM (cth:Cthe_1835);;NCBI (125714564)|EMBL (CP000568);
219;WP_014522642.1 hypothetical protein [Ruminiclostridium thermocellum];687;Uncharacterized protein;73.79% [687/931];;;Uniprot (A0A4Q0I0W4)|Interpro (A0A4Q0I0W4);;;EMBL (RLII01000042);
220;WP_003513991.1 hypothetical protein [Hungateiclostridium thermocellum];106;Uncharacterized protein;100.00% [106/106];;;Uniprot (A3DGW1)|Interpro (A3DGW1);KEGG (cth:Cthe_1972)|KEGG GM (cth:Cthe_1972);;NCBI (489609550)|EMBL (CP000568);
221;WP_003516785.1 CRISPR-associated RAMP protein [Hungateiclostridium thermocellum];279;CRISPR-associated RAMP protein SSO1426 family;100.00% [279/279];;CRISPR-associated cluster;Uniprot (A3DH28)|Interpro (A3DH28);KEGG (cth:Cthe_2050)|KEGG GM (cth:Cthe_2050);Interpro (IPR013411)|Interpro (IPR005537)|Pfam (PF03787);NCBI (489612344)|EMBL (CP000568);
222;WP_003514433.1 DUF1847 domain-containing protein [Hungateiclostridium thermocellum];217;Uncharacterized protein;99.54% [217/218];;;Uniprot (A3DJ58)|Interpro (A3DJ58);KEGG (cth:Cthe_2788)|KEGG GM (cth:Cthe_2788);Interpro (IPR014997)|Pfam (PF08901);NCBI (521293653)|EMBL (CP000568);
223;WP_003512559.1 hypothetical protein [Hungateiclostridium thermocellum];67;Uncharacterized protein;100.00% [67/67];;;Uniprot (A3DC85)|Interpro (A3DC85);KEGG (cth:Cthe_0326)|KEGG GM (cth:Cthe_0326);;NCBI (489608118)|EMBL (CP000568);
224;WP_003513995.1 hypothetical protein [Hungateiclostridium thermocellum];98;Uncharacterized protein;87.50% [98/112];;;Uniprot (A3DGW6)|Interpro (A3DGW6);KEGG (cth:Cthe_1977)|KEGG GM (cth:Cthe_1977);;NCBI (521293407)|EMBL (CP000568);
225;WP_003513250.1 hypothetical protein [Hungateiclostridium thermocellum];268;Uncharacterized protein;100.00% [268/268];GO:0016021 - integral component of membrane;;Uniprot (A3DI32)|Interpro (A3DI32);KEGG (cth:Cthe_2409)|KEGG GM (cth:Cthe_2409);;NCBI (489608809)|EMBL (CP000568);
226;WP_003519432.1 hypothetical protein [Hungateiclostridium thermocellum];222;Uncharacterized protein;100.00% [222/222];GO:0016021 - integral component of membrane;;Uniprot (A3DEN7)|Interpro (A3DEN7);KEGG (cth:Cthe_1184)|KEGG GM (cth:Cthe_1184);;NCBI (489614991)|EMBL (CP000568);
227;WP_003518313.1 hypothetical protein [Hungateiclostridium thermocellum];355;Uncharacterized protein;50.64% [355/701];;;Uniprot (A3DFB9)|Interpro (A3DFB9);KEGG (cth:Cthe_1417)|KEGG GM (cth:Cthe_1417);Interpro (IPR011044);NCBI (125714156)|EMBL (CP000568);
228;WP_003520010.1 hypothetical protein [Hungateiclostridium thermocellum];214;Uncharacterized protein;99.53% [214/215];GO:0016021 - integral component of membrane;;Uniprot (A3DKD7)|Interpro (A3DKD7);KEGG (cth:Cthe_3221)|KEGG GM (cth:Cthe_3221);;NCBI (521293791)|EMBL (CP000568);
229;WP_003518449.1 GerMN domain-containing protein [Hungateiclostridium thermocellum];219;Lipoprotein LpqB GerMN domain-containing protein;73.24% [219/299];;;Uniprot (A3DGT1)|Interpro (A3DGT1);KEGG (cth:Cthe_1942)|KEGG GM (cth:Cthe_1942);Interpro (IPR019606)|Pfam (PF10646);NCBI (521293398)|EMBL (CP000568);
230;WP_003517930.1 YjbQ family protein [Hungateiclostridium thermocellum];137;Uncharacterized protein;99.28% [137/138];;;Uniprot (A3DCL5)|Interpro (A3DCL5);KEGG (cth:Cthe_0456)|KEGG GM (cth:Cthe_0456);Interpro (IPR001602)|Interpro (IPR035917)|Pfam (PF01894);NCBI (490598137)|EMBL (CP000568);
231;WP_003516602.1 hypothetical protein [Hungateiclostridium thermocellum];99;Uncharacterized protein;100.00% [99/99];;;Uniprot (A3DD56)|Interpro (A3DD56);KEGG (cth:Cthe_0650)|KEGG GM (cth:Cthe_0650);Interpro (IPR027417);NCBI (489612161)|EMBL (CP000568);
232;WP_003517438.1 hypothetical protein [Hungateiclostridium thermocellum];197;LytR_C domain-containing protein;99.49% [197/198];;;Uniprot (A3DEU2)|Interpro (A3DEU2);KEGG (cth:Cthe_1239)|KEGG GM (cth:Cthe_1239);Interpro (IPR027381)|Pfam (PF13399);NCBI (490598599)|EMBL (CP000568);
233;WP_003515335.1 hypothetical protein [Hungateiclostridium thermocellum];78;Uncharacterized protein;98.73% [78/79];;;Uniprot (A3DJ36)|Interpro (A3DJ36);KEGG (cth:Cthe_2766)|KEGG GM (cth:Cthe_2766);;NCBI (125715473)|EMBL (CP000568);
234;WP_003517561.1 hypothetical protein [Hungateiclostridium thermocellum];204;Uncharacterized protein;100.00% [204/204];;;Uniprot (A3DCT7)|Interpro (A3DCT7);KEGG (cth:Cthe_0530)|KEGG GM (cth:Cthe_0530);;NCBI (489613120)|EMBL (CP000568);
235;WP_003513988.1 hypothetical protein [Hungateiclostridium thermocellum];459;Uncharacterized protein;100.00% [459/459];;;Uniprot (A3DGV8)|Interpro (A3DGV8);KEGG (cth:Cthe_1969)|KEGG GM (cth:Cthe_1969);;NCBI (489609547)|EMBL (CP000568);
236;WP_003518242.1 hypothetical protein [Hungateiclostridium thermocellum];131;Uncharacterized protein;100.00% [131/131];;;Uniprot (A3DF90)|Interpro (A3DF90);KEGG (cth:Cthe_1387)|KEGG GM (cth:Cthe_1387);;NCBI (489613801)|EMBL (CP000568);
237;WP_003516205.1 NAD(P)/FAD-dependent oxidoreductase [Hungateiclostridium thermocellum];409;HI0933 family protein;100.00% [409/409];;;Uniprot (A3DDB4)|Interpro (A3DDB4);KEGG (cth:Cthe_0708)|KEGG GM (cth:Cthe_0708);Interpro (IPR004792)|Interpro (IPR036188)|Interpro (IPR023166);NCBI (489611764)|EMBL (CP000568);
238;WP_003518240.1 DUF5317 domain-containing protein [Hungateiclostridium thermocellum];199;Uncharacterized protein;100.00% [199/199];GO:0016021 - integral component of membrane;;Uniprot (A3DF89)|Interpro (A3DF89);KEGG (cth:Cthe_1386)|KEGG GM (cth:Cthe_1386);Interpro (IPR035168)|Pfam (PF17248);NCBI (489613799)|EMBL (CP000568);
239;ADU75764.1 hypothetical protein Clo1313_2780 [Hungateiclostridium thermocellum DSM 1313];91;Uncharacterized protein;100.00% [91/91];GO:0016021 - integral component of membrane;;Uniprot (A3DHA0)|Interpro (A3DHA0);KEGG (cth:Cthe_2122)|KEGG GM (cth:Cthe_2122);;NCBI (125714837)|EMBL (CP000568);
240;WP_003514095.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];170;Uncharacterized protein;100.00% [170/170];;;Uniprot (A3DH24)|Interpro (A3DH24);KEGG (cth:Cthe_2046)|KEGG GM (cth:Cthe_2046);;NCBI (489609654)|EMBL (CP000568);
241;WP_003512220.1 DUF4364 family protein [Hungateiclostridium thermocellum];185;Uncharacterized protein;100.00% [185/185];;;Uniprot (A3DBS7)|Interpro (A3DBS7);KEGG (cth:Cthe_0165)|KEGG GM (cth:Cthe_0165);Interpro (IPR025374)|Interpro (IPR036388)|Pfam (PF14277);NCBI (489607779)|EMBL (CP000568);
242;WP_003514093.1 hypothetical protein [Hungateiclostridium thermocellum];200;Uncharacterized protein;99.50% [200/201];;;Uniprot (A3DH22)|Interpro (A3DH22);KEGG (cth:Cthe_2044)|KEGG GM (cth:Cthe_2044);;NCBI (521293428)|EMBL (CP000568);
243;WP_003512244.1 hypothetical protein [Hungateiclostridium thermocellum];116;Uncharacterized protein;100.00% [116/116];;;Uniprot (A3DBT8)|Interpro (A3DBT8);KEGG (cth:Cthe_0176)|KEGG GM (cth:Cthe_0176);;NCBI (489607803)|EMBL (CP000568);
244;WP_003517563.1 hypothetical protein [Hungateiclostridium thermocellum];508;Uncharacterized protein;99.03% [508/513];GO:0016021 - integral component of membrane;;Uniprot (A3DCT8)|Interpro (A3DCT8);KEGG (cth:Cthe_0531)|KEGG GM (cth:Cthe_0531);;NCBI (500163193)|EMBL (CP000568);
245;WP_003516598.1 hypothetical protein [Hungateiclostridium thermocellum];109;Uncharacterized protein;100.00% [109/109];;;Uniprot (A3DD55)|Interpro (A3DD55);KEGG (cth:Cthe_0649)|KEGG GM (cth:Cthe_0649);;NCBI (489612157)|EMBL (CP000568);
246;WP_003516789.1 hypothetical protein [Hungateiclostridium thermocellum];173;Uncharacterized protein;98.86% [173/175];;;Uniprot (A3DH26)|Interpro (A3DH26);KEGG (cth:Cthe_2048)|KEGG GM (cth:Cthe_2048);;NCBI (125714763)|EMBL (CP000568);
247;WP_003516171.1 sporulation protein YtfJ [Hungateiclostridium thermocellum];162;Sporulation protein YtfJ;100.00% [162/162];;;Uniprot (A3DD97)|Interpro (A3DD97);KEGG (cth:Cthe_0691)|KEGG GM (cth:Cthe_0691);Interpro (IPR014229)|Pfam (PF09579);NCBI (489611730)|EMBL (CP000568);
248;ADU74385.1 hypothetical protein Clo1313_1322 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
249;WP_003513407.1 hypothetical protein [Hungateiclostridium thermocellum];436;Uncharacterized protein;99.77% [436/437];GO:0016021 - integral component of membrane;;Uniprot (A3DHW0)|Interpro (A3DHW0);KEGG (cth:Cthe_2337)|KEGG GM (cth:Cthe_2337);;NCBI (521293503)|EMBL (CP000568);
250;WP_003516077.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];247;CRISPR-associated protein Csx10;46.34% [247/533];;;Uniprot (A0A285BCF9)|Interpro (A0A285BCF9);;Interpro (IPR005537)|Pfam (PF03787);EMBL (LT906662);
251;ADU75055.1 hypothetical protein Clo1313_2011 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
252;WP_003516875.1 hypothetical protein [Hungateiclostridium thermocellum];730;Uncharacterized protein;92.52% [730/789];GO:0016021 - integral component of membrane;;Uniprot (A3DHC5)|Interpro (A3DHC5);KEGG (cth:Cthe_2151)|KEGG GM (cth:Cthe_2151);;NCBI (125714862)|EMBL (CP000568);
253;WP_014522612.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
254;WP_003516493.1 sulfur carrier protein ThiS [Hungateiclostridium thermocellum];66;Thiamine biosynthesis protein ThiS;100.00% [66/66];;Thiamin biosynthesis|At1g54520|COG2363;Uniprot (A3DD03)|Interpro (A3DD03);KEGG (cth:Cthe_0597)|KEGG GM (cth:Cthe_0597);Interpro (IPR012675)|Interpro (IPR016155)|Interpro (IPR010035)|Interpro (IPR003749)|Pfam (PF02597);NCBI (489612052)|EMBL (CP000568);
255;WP_003513671.1 hypothetical protein [Hungateiclostridium thermocellum];196;Uncharacterized protein;100.00% [196/196];;;Uniprot (A3DHG5)|Interpro (A3DHG5);KEGG (cth:Cthe_2192)|KEGG GM (cth:Cthe_2192);;NCBI (489609230)|EMBL (CP000568);
256;WP_003514313.1 hypothetical protein [Hungateiclostridium thermocellum];124;Uncharacterized protein;100.00% [124/124];GO:0016021 - integral component of membrane;;Uniprot (A3DJ03)|Interpro (A3DJ03);KEGG (cth:Cthe_2733)|KEGG GM (cth:Cthe_2733);;NCBI (489609872)|EMBL (CP000568);
257;WP_003513946.1 hypothetical protein [Hungateiclostridium thermocellum];123;Uncharacterized protein;99.19% [123/124];GO:0016021 - integral component of membrane;;Uniprot (A3DGU1)|Interpro (A3DGU1);KEGG (cth:Cthe_1952)|KEGG GM (cth:Cthe_1952);;NCBI (521293400)|EMBL (CP000568);
258;WP_003516586.1 hypothetical protein [Hungateiclostridium thermocellum];61;Uncharacterized protein;100.00% [61/61];;;Uniprot (G2JC71)|Interpro (G2JC71);KEGG (cth:Cthe_3322)|KEGG GM (cth:Cthe_3322);;NCBI (489612145)|EMBL (CP000568);
259;WP_003517416.1 hypothetical protein [Hungateiclostridium thermocellum];545;Uncharacterized protein;100.00% [545/545];GO:0016021 - integral component of membrane;;Uniprot (A3DFN2)|Interpro (A3DFN2);KEGG (cth:Cthe_1534)|KEGG GM (cth:Cthe_1534);;NCBI (489612975)|EMBL (CP000568);
260;WP_003516571.1 hypothetical protein [Hungateiclostridium thermocellum];161;Uncharacterized protein;100.00% [161/161];;;Uniprot (A3DD39)|Interpro (A3DD39);KEGG (cth:Cthe_0633)|KEGG GM (cth:Cthe_0633);;NCBI (489612130)|EMBL (CP000568);
261;WP_003513930.1 hypothetical protein [Hungateiclostridium thermocellum];182;Uncharacterized protein;100.00% [182/182];;;Uniprot (A3DGT3)|Interpro (A3DGT3);KEGG (cth:Cthe_1944)|KEGG GM (cth:Cthe_1944);Interpro (IPR007405)|Pfam (PF04308);NCBI (489609489)|EMBL (CP000568);
262;ADU75057.1 hypothetical protein Clo1313_2013 [Hungateiclostridium thermocellum DSM 1313];54;Uncharacterized protein;100.00% [54/54];GO:0016021 - integral component of membrane;;Uniprot (G2JC61)|Interpro (G2JC61);KEGG (cth:Cthe_3304)|KEGG GM (cth:Cthe_3304);;NCBI (345548274)|EMBL (CP000568);
263;ADU75335.1 hypothetical protein Clo1313_2309 [Hungateiclostridium thermocellum DSM 1313];29;Uncharacterized protein;56.86% [29/51];;;Uniprot (A0A1V5Y956)|Interpro (A0A1V5Y956);;Interpro (IPR024265)|Pfam (PF12663);EMBL (MWCU01000054);
264;WP_003513499.1 hypothetical protein [Hungateiclostridium thermocellum];41;Uncharacterized protein;60.29% [41/68];GO:0016021 - integral component of membrane;;Uniprot (G8M1R7)|Interpro (G8M1R7);KEGG (ccl:Clocl_3847)|KEGG GM (ccl:Clocl_3847);Interpro (IPR021359)|Pfam (PF11193);NCBI (504022805)|EMBL (CP003065);
265;WP_003513465.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
266;WP_003515286.1 carbohydrate-binding protein [Hungateiclostridium thermocellum];553;Carbohydrate-binding protein CenC;77.89% [553/710];;;Uniprot (A0A4Q0I327)|Interpro (A0A4Q0I327);;Interpro (IPR008979)|Interpro (IPR013783)|Interpro (IPR014756);EMBL (RLII01000015);
267;WP_003513944.1 hypothetical protein [Hungateiclostridium thermocellum];107;Uncharacterized protein;100.00% [107/107];;;Uniprot (A3DGT9)|Interpro (A3DGT9);KEGG (cth:Cthe_1950)|KEGG GM (cth:Cthe_1950);;NCBI (489609503)|EMBL (CP000568);
268;WP_003520277.1 hypothetical protein [Hungateiclostridium thermocellum];131;Uncharacterized protein;100.00% [131/131];;;Uniprot (A3DCT6)|Interpro (A3DCT6);KEGG (cth:Cthe_0528)|KEGG GM (cth:Cthe_0528);;NCBI (489615836)|EMBL (CP000568);
269;WP_003512389.1 hypothetical protein [Hungateiclostridium thermocellum];143;Uncharacterized protein;69.08% [143/207];GO:0016021 - integral component of membrane;;Uniprot (A0A1E3BYD0)|Interpro (A0A1E3BYD0);;;NCBI (1061400936)|EMBL (LXSB01000001);
270;WP_003517548.1 hypothetical protein [Hungateiclostridium thermocellum];228;Uncharacterized protein;100.00% [228/228];GO:0016021 - integral component of membrane;;Uniprot (A3DEZ9)|Interpro (A3DEZ9);KEGG (cth:Cthe_1296)|KEGG GM (cth:Cthe_1296);;NCBI (489613107)|EMBL (CP000568);
271;WP_003516362.1 hypothetical protein [Hungateiclostridium thermocellum];100;Uncharacterized protein;100.00% [100/100];;;Uniprot (A3DDJ1)|Interpro (A3DDJ1);KEGG (cth:Cthe_0785)|KEGG GM (cth:Cthe_0785);;NCBI (489611921)|EMBL (CP000568);
272;WP_003515725.1 hypothetical protein [Hungateiclostridium thermocellum];246;Uncharacterized protein;100.00% [246/246];;;Uniprot (A3DEE1)|Interpro (A3DEE1);KEGG (cth:Cthe_1088)|KEGG GM (cth:Cthe_1088);;NCBI (489611284)|EMBL (CP000568);
273;WP_003518390.1 copper amine oxidase N-terminal domain-containing protein [Hungateiclostridium thermocellum];268;Copper amine oxidase-like domain-containing protein;99.63% [268/269];;;Uniprot (A3DBG0)|Interpro (A3DBG0);KEGG (cth:Cthe_0048)|KEGG GM (cth:Cthe_0048);Interpro (IPR012854)|Interpro (IPR036582)|Pfam (PF07833);NCBI (489607537)|EMBL (CP000568);
274;WP_003516872.1 hypothetical protein [Hungateiclostridium thermocellum];109;Uncharacterized protein;99.09% [109/110];;;Uniprot (A3DHD1)|Interpro (A3DHD1);KEGG (cth:Cthe_2157)|KEGG GM (cth:Cthe_2157);;NCBI (521293455)|EMBL (CP000568);
275;WP_003520207.1 hypothetical protein [Hungateiclostridium thermocellum];293;Uncharacterized protein;97.34% [293/301];;CRISPR-associated cluster;Uniprot (A3DH27)|Interpro (A3DH27);KEGG (cth:Cthe_2049)|KEGG GM (cth:Cthe_2049);Interpro (IPR005537)|Pfam (PF03787);NCBI (125714764)|EMBL (CP000568);
276;WP_080514924.1 hypothetical protein [Hungateiclostridium thermocellum];34;DNA-binding response regulator;82.93% [34/41];GO:0000160 - phosphorelay signal transduction system|GO:0003677 - DNA binding;;Uniprot (A0A4Q0I2P4)|Interpro (A0A4Q0I2P4);;Interpro (IPR011006)|Interpro (IPR007492)|Interpro (IPR001789)|Pfam (PF04397)|Pfam (PF00072);EMBL (RLII01000017);
277;WP_003511737.1 rRNA methyltransferase [Hungateiclostridium thermocellum];303;Uncharacterized protein;100.00% [303/303];;;Uniprot (A3DK96)|Interpro (A3DK96);KEGG (cth:Cthe_3180)|KEGG GM (cth:Cthe_3180)|KEGG EC (2.1.1.179);Interpro (IPR025981)|Interpro (IPR029063)|Pfam (PF07091);NCBI (489607296)|EMBL (CP000568);
278;WP_003513590.1 polysaccharide biosynthesis protein [Hungateiclostridium thermocellum];332;Polysaccharide biosynthesis protein CapD;100.00% [332/332];;N-linked Glycosylation in Bacteria|Legionaminic Acid Biosynthesis|CBSS-296591.1.peg.2330;Uniprot (A3DHK5)|Interpro (A3DHK5);KEGG (cth:Cthe_2232)|KEGG GM (cth:Cthe_2232)|KEGG EC (5.1.3.2);Interpro (IPR036291)|Interpro (IPR003869)|Pfam (PF02719);NCBI (489609149)|EMBL (CP000568);
279;WP_003516061.1 TIGR02710 family CRISPR-associated protein [Hungateiclostridium thermocellum];430;CRISPR-associated protein TIGR02710 family;88.11% [430/488];;CRISP Cmr Cluster;Uniprot (A3DKD3)|Interpro (A3DKD3);KEGG (cth:Cthe_3217)|KEGG GM (cth:Cthe_3217);Interpro (IPR014082)|Interpro (IPR011335);NCBI (125715920)|EMBL (CP000568);
280;WP_003514904.1 DUF47 domain-containing protein [Hungateiclostridium thermocellum];207;Putative phosphate transport regulator;100.00% [207/207];;;Uniprot (A3DJR8)|Interpro (A3DJR8);KEGG (cth:Cthe_3001)|KEGG GM (cth:Cthe_3001);Interpro (IPR038078)|Interpro (IPR018445)|Pfam (PF01865);NCBI (489610463)|EMBL (CP000568);
281;WP_003512706.1 DNA metabolism protein [Hungateiclostridium thermocellum];245;DUF4130 domain-containing protein;100.00% [245/245];;Uracil-DNA glycosylase;Uniprot (A3DCG5)|Interpro (A3DCG5);KEGG (cth:Cthe_0406)|KEGG GM (cth:Cthe_0406);Interpro (IPR023875)|Interpro (IPR025404)|Pfam (PF13566);NCBI (489608265)|EMBL (CP000568);
282;WP_003516073.1 hypothetical protein [Hungateiclostridium thermocellum];83;Uncharacterized protein;53.55% [83/155];;;Uniprot (A0A285BCR4)|Interpro (A0A285BCR4);;;EMBL (LT906662);
283;WP_003512947.1 hypothetical protein [Hungateiclostridium thermocellum];286;S-layer domain-containing protein;100.00% [286/286];;;Uniprot (A3DIN4)|Interpro (A3DIN4);KEGG (cth:Cthe_2613)|KEGG GM (cth:Cthe_2613);Interpro (IPR001119)|Pfam (PF00395);NCBI (489608506)|EMBL (CP000568);
284;WP_003513253.1 chemotaxis protein CheX [Hungateiclostridium thermocellum];170;CheX domain-containing protein;100.00% [170/170];;;Uniprot (A3DI29)|Interpro (A3DI29);KEGG (cth:Cthe_2406)|KEGG GM (cth:Cthe_2406);Interpro (IPR028976)|Interpro (IPR028051)|Pfam (PF13690);NCBI (489608812)|EMBL (CP000568);
285;WP_003515442.1 hypothetical protein [Hungateiclostridium thermocellum];24;Uncharacterized protein;75.00% [24/32];;;Uniprot (G8LYU6)|Interpro (G8LYU6);KEGG (ccl:Clocl_1187)|KEGG GM (ccl:Clocl_1187);;NCBI (359825075)|EMBL (CP003065);
286;WP_003518929.1 hypothetical protein [Hungateiclostridium thermocellum];65;YD repeat-containing protein;81.25% [65/80];GO:0016021 - integral component of membrane;;Uniprot (A3DBC2)|Interpro (A3DBC2);KEGG (cth:Cthe_0009)|KEGG GM (cth:Cthe_0009);Interpro (IPR022385)|Interpro (IPR031325)|Interpro (IPR006530)|Pfam (PF05593);NCBI (500163065)|EMBL (CP000568);
287;WP_003518315.1 hypothetical protein [Hungateiclostridium thermocellum];140;Uncharacterized protein;100.00% [140/140];;;Uniprot (A3DFC1)|Interpro (A3DFC1);KEGG (cth:Cthe_1419)|KEGG GM (cth:Cthe_1419);;NCBI (489613874)|EMBL (CP000568);
288;WP_003513585.1 motility associated factor glycosyltransferase family protein [Hungateiclostridium thermocellum];634;Uncharacterized protein;100.00% [634/634];;;Uniprot (A3DHK8)|Interpro (A3DHK8);KEGG (cth:Cthe_2235)|KEGG GM (cth:Cthe_2235);Interpro (IPR002826)|Pfam (PF01973);NCBI (125714945)|EMBL (CP000568);
