ProteinID	ortholog	evalue	Score	Predicted_Gene_name	GO_terms	KEGG_KO	BiGG_Reactions	Matching_Ogs	Best_OG_value	COG_functional_categories	HMM_model_annotation
WP_003512932.1	203119.Cthe_2620	3.30E-169	555.2	FLGF	"GO:0005575,GO:0005622,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009425,GO:0009987,GO:0030694,GO:0042995,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044461,GO:0044463,GO:0044464,GO:0044699,GO:0044763"	"K02391,K02392"		"05KTQ@bactNOG,0ESHK@cloNOG,0NEVW@firmNOG,COG4786@NOG"	05KTQ|1.97504839264e-90|306.25982666	N	flagellar basal-body rod protein
WP_003512937.1	203119.Cthe_2618	4.40E-53	169.2	SPOIIID		K06283		"05MT0@bactNOG,0EUBW@cloNOG,0NKZE@firmNOG,11VHI@NOG"	05MT0|1.22594648932e-40|140.360351562	K	Sporulation transcriptional regulator spoiiid
WP_003512939.1	203119.Cthe_2617	9.70E-203	663.6					"05NIN@bactNOG,0ET4N@cloNOG,0NJDC@firmNOG,11NAR@NOG"	05NIN|2.87123530627e-73|249.318115234	S	peptidase M23
WP_003512944.1	203119.Cthe_2615	5.30E-275	908.3	MURA	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K00790	UAGCVT	"05CDF@bactNOG,0EP54@cloNOG,0ND91@firmNOG,COG0766@NOG"	05CDF|1.7243669213e-205|686.463134766	M	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)
WP_003512946.1	203119.Cthe_2614	1.40E-165	538.5					"08X8C@bactNOG,0ET36@cloNOG,0NIFY@firmNOG,11JYS@NOG"	08X8C|4.47828995651e-73|248.890060425	S	Protein of unknown function (DUF1779)
WP_003512947.1	203119.Cthe_2613	5.20E-199	649.6					"06JX0@bactNOG,0EZ0I@cloNOG,0NTP5@firmNOG,0YAE9@NOG"	06JX0|7.4520457126e-69|235.701004028	S	s-layer domain-containing protein
WP_003512950.1	203119.Cthe_2612	0	2900.5					"05UQE@bactNOG,0EUTB@cloNOG,0NMCF@firmNOG,11YWA@NOG"	05UQE|0.0|1552.49414062	S	fibronectin type III domain protein
WP_003512952.1	203119.Cthe_2611	0	3685.8					"06EXM@bactNOG,0EX8J@cloNOG,0NSZ5@firmNOG,0Y554@NOG"	06EXM|0.0|2322.9699707	S	fibronectin type iii
WP_003512954.1	216596.RL1102	2.00E-30	97.5					"01QT7@aproNOG,08HFV@bactNOG,175EW@proNOG,COG3586@NOG"	08HFV|1.19433721733e-29|106.065841675	S	NA
WP_003512956.1	203119.Cthe_2609	2.00E-88	288.8	ATPC	"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006164,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006818,GO:0008150,GO:0008152,GO:0008324,GO:0009056,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009125,GO:0009126,GO:0009127,GO:0009128,GO:0009141,GO:0009142,GO:0009143,GO:0009144,GO:0009145,GO:0009146,GO:0009150,GO:0009152,GO:0009154,GO:0009156,GO:0009158,GO:0009161,GO:0009163,GO:0009164,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009169,GO:0009199,GO:0009201,GO:0009203,GO:0009205,GO:0009206,GO:0009207,GO:0009259,GO:0009260,GO:0009261,GO:0009579,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015399,GO:0015405,GO:0015672,GO:0015985,GO:0015986,GO:0015992,GO:0016020,GO:0016462,GO:0016469,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019829,GO:0022804,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0032991,GO:0033178,GO:0034220,GO:0034357,GO:0034641,GO:0034654,GO:0034655,GO:0042278,GO:0042451,GO:0042454,GO:0042455,GO:0042623,GO:0042625,GO:0042626,GO:0042651,GO:0043234,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044436,GO:0044459,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0044769,GO:0045259,GO:0045260,GO:0045261,GO:0045262,GO:0046034,GO:0046128,GO:0046129,GO:0046130,GO:0046390,GO:0046434,GO:0046483,GO:0046700,GO:0046933,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0072523,GO:0090407,GO:1901135,GO:1901136,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901659"	K02114	"ATPS4r,ATPS4rpp"	"05KNM@bactNOG,0EU7Z@cloNOG,0NKR5@firmNOG,COG0355@NOG"	05KNM|2.36191544751e-47|163.178482056	C	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)
WP_003512963.1	203119.Cthe_2606	0	1107.5	ATPA	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K02111	ATPS4r	"05CDG@bactNOG,0ENUH@cloNOG,0NDJF@firmNOG,COG0056@NOG"	05CDG|4.62370980665e-263|877.378295898	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)
WP_003512965.1	203119.Cthe_2605	7.20E-118	384.6	ATPH	"GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0071944"	K02113	ATPS4r	"07YZM@bactNOG,0EUDJ@cloNOG,0NKSB@firmNOG,COG0712@NOG"	07YZM|1.24149236417e-58|200.918045044	C	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)"
WP_003512967.1	203119.Cthe_2604	7.50E-109	355.2	ATPF	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K02109	ATPS4r	"07ZFM@bactNOG,0EVF8@cloNOG,0NIBP@firmNOG,COG0711@NOG"	07ZFM|4.95377116989e-51|175.515808105	C	"Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0) (By similarity)"
WP_003512969.1	411462.DORLON_00947	5.90E-29	90.9	ATPE	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K02110	ATPS4r	"082I9@bactNOG,0F538@cloNOG,0P3VJ@firmNOG,0ZXJ4@NOG"	082I9|2.17166521184e-25|91.195350647	C	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)"
WP_003512970.1	203119.Cthe_2602	6.90E-164	538	ATPB	"GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0071944"	K02108	ATPS4r	"07RFS@bactNOG,0EP1F@cloNOG,0NFAD@firmNOG,COG0356@NOG"	07RFS|5.19707814241e-82|277.911071777	C	it plays a direct role in the translocation of protons across the membrane (By similarity)
WP_003512977.1	203119.Cthe_2599	2.30E-105	344.3	COMEB		K01493	"CMPDAi,DCMPDA"	"08UK2@bactNOG,0ERV1@cloNOG,0NI50@firmNOG,COG2131@NOG"	08UK2|7.65496428698e-60|205.827957153	F	deaminase
WP_003512981.1	203119.Cthe_2597	5.20E-101	329.1	RPIB	"GO:0003674,GO:0003824,GO:0004751,GO:0005975,GO:0005996,GO:0008150,GO:0008152,GO:0008786,GO:0009056,GO:0016052,GO:0016853,GO:0016860,GO:0016861,GO:0019313,GO:0019314,GO:0019316,GO:0019318,GO:0019320,GO:0044238,GO:0044723,GO:0044724,GO:0046365,GO:0046367,GO:0071704,GO:1901575"	"K01808,K01819"	"ALLPI,GAL6PI,RPI"	"08YZG@bactNOG,0ET6B@cloNOG,0NJ8W@firmNOG,COG0698@NOG"	0NJ8W|3.53541273126e-85|289.551055908	G	isomerase
WP_003512983.1	720554.Clocl_0288	5.30E-56	181.9	PTPB		K01104		"07WAU@bactNOG,0F4W0@cloNOG,0P3C2@firmNOG,COG0394@NOG"	07WAU|1.39936987316e-60|208.358337402	T	Protein tyrosine phosphatase
WP_003512987.1	203119.Cthe_2594	1.60E-151	497.9			K07238		"05DUN@bactNOG,0EP55@cloNOG,0NDJH@firmNOG,COG0428@NOG"	05DUN|6.8252934054e-61|208.941802979	P	Mediates zinc uptake. May also transport other divalent cations (By similarity)
WP_003512988.1	203119.Cthe_2593	9.40E-240	791.2	PRFA	"GO:0003674,GO:0003676,GO:0003723,GO:0003747,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006412,GO:0006415,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0016149,GO:0019538,GO:0022411,GO:0032984,GO:0034645,GO:0040007,GO:0043021,GO:0043022,GO:0043170,GO:0043241,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0044699,GO:0044763,GO:0071704,GO:0071822,GO:0071840,GO:0097159,GO:1901363,GO:1901576"	K02835		"05C8K@bactNOG,0ENU9@cloNOG,0NDAM@firmNOG,COG0216@NOG"	05C8K|1.64403617511e-171|572.923706055	J	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA (By similarity)
WP_003512989.1	203119.Cthe_2592	2.10E-105	340.9					"067SY@bactNOG,0XV8Z@NOG"	067SY|1.1120538074e-31|112.563476562	S	Protein of unknown function (DUF2752)
WP_003512991.1	203119.Cthe_2590	0	1488.2		"GO:0003674,GO:0003824,GO:0004553,GO:0008150,GO:0008152,GO:0016787,GO:0016798,GO:0031176"			"08K30@bactNOG,COG3693@NOG"	08K30|5.6868992241e-154|510.966156006	G	hydrolase family 10
WP_003512995.1	203119.Cthe_2586	5.20E-182	594.8			K07045		"07X47@bactNOG,0ES3Q@cloNOG,0NHGD@firmNOG,COG2159@NOG"	07X47|2.19622530359e-96|325.431671143	S	amidohydrolase
WP_003513001.1	203119.Cthe_2583	2.90E-115	378.3	FOLK	"GO:0000287,GO:0003674,GO:0003824,GO:0003848,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006575,GO:0006725,GO:0006732,GO:0006760,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016740,GO:0016772,GO:0016778,GO:0019752,GO:0042558,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046483,GO:0046872,GO:0051186,GO:0071704,GO:1901360,GO:1901564,GO:1901605"	"K00950,K13940"	"DHNPA_1,FOLD3,HPPK,HPPK2"	"05K8U@bactNOG,0EQ90@cloNOG,0NKQX@firmNOG,COG0801@NOG"	05K8U|2.67243801959e-61|211.270950317	H	2-Amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
WP_003513007.1	203119.Cthe_2579	4.40E-247	809.8			"K00001,K00086,K00217,K19954"	"ACALD,ALCD19"	"05C0A@bactNOG,0EQF0@cloNOG,0ND6Y@firmNOG,COG1454@NOG"	0EQF0|4.19887089363e-151|506.094818115	C	alcohol dehydrogenase
WP_003513009.1	742821.HMPREF9464_00893	7.00E-66	215.3	CYAA		K01768		"05P0I@bactNOG,0BDAT@bproNOG,17CBY@proNOG,COG2954@NOG"	05P0I|9.05568962424e-65|221.836532593	S	Adenylate cyclase
WP_003513010.1	203119.Cthe_2576	2.30E-297	973.4					"06PFH@bactNOG,0P4ZK@firmNOG,0YFCP@NOG"	06PFH|1.86314940802e-205|685.861999512	S	NA
WP_003513011.1	203119.Cthe_2575	8.00E-225	738.4	YTLA	"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658"	"K02051,K15553"		"05D2X@bactNOG,0EPSZ@cloNOG,0NE6W@firmNOG,COG0715@NOG"	05D2X|2.03905014673e-141|473.53527832	P	ABC transporter substrate-binding protein
WP_003513012.1	203119.Cthe_2574	2.90E-170	559.2	YTLD	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K02050		"05EFP@bactNOG,0EQ75@cloNOG,0NE6C@firmNOG,COG0600@NOG"	05EFP|7.83228384582e-98|330.442016602	P	binding-protein-dependent transport systems inner membrane Component
WP_003513013.1	438753.AZC_2497	2.30E-82	264.8	TAUB	"GO:0003674,GO:0003824,GO:0005215,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658"	K02049		"01XYD@aproNOG,05D7T@bactNOG,170YV@proNOG,COG1116@NOG"	01XYD|1.83309021232e-102|344.913269043	P	ABC transporter
WP_003513019.1	203119.Cthe_2568	1.60E-148	480.4					"06QY2@bactNOG,0EZQV@cloNOG,0NV85@firmNOG,0YH6P@NOG"	06QY2|4.76132873778e-80|265.207458496	S	NA
WP_003513023.1	203119.Cthe_2562	4.80E-187	614.6	RFBF		K00978		"05EJZ@bactNOG,0EPX8@cloNOG,0NEBK@firmNOG,COG1208@NOG"	05EJZ|3.03622867818e-83|283.234924316	M	Glucose-1-phosphate cytidylyltransferase
WP_003513025.1	203119.Cthe_2560	2.90E-126	414.4			K01790		"08URP@bactNOG,0EPRI@cloNOG,0NF9Z@firmNOG,COG1898@NOG"	08URP|1.04319107801e-61|212.152786255	M	"Dtdp-4-dehydrorhamnose 3,5-epimerase"
WP_003513026.1	203119.Cthe_2559	0	1076.3	RFBH	"GO:0000271,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009243,GO:0009987,GO:0016051,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044710,GO:0044723,GO:0046402,GO:0071704,GO:1901135,GO:1901137,GO:1901576"	"K12452,K13328"		"05CF4@bactNOG,0EQGA@cloNOG,0NDEZ@firmNOG,COG0399@NOG"	0EQGA|1.84074011428e-245|817.156066895	M	DegT DnrJ EryC1 StrS
WP_003513028.1	1001530.PMSV_1489	2.00E-57	183.3					"089N0@bactNOG,COG0451@NOG"	089N0|4.35978344703e-87|294.883636475	"G, M"	NAD dependent epimerase dehydratase family protein
WP_003513046.1	203119.Cthe_2557	0	1134.2			K07011		"0810R@bactNOG,0ETMQ@cloNOG,0NISN@firmNOG,COG1216@NOG"	0810R|3.88741888128e-109|369.174682617	M	"Glycosyl transferase, family 2"
WP_003513047.1	203119.Cthe_2552	1.90E-83	270.2					"08NV2@bactNOG,0F5JP@cloNOG,0NENA@firmNOG,0ZWUW@NOG"	08NV2|1.37968294161e-89|303.625701904	S	radical SAM domain protein
WP_003513053.1	203119.Cthe_2554	9.20E-295	966					"08TY7@bactNOG,0ETVQ@cloNOG,0NHMN@firmNOG,11J91@NOG"	08TY7|1.91250104079e-162|543.889709473	M	group 1 glycosyl transferase
WP_003513065.1	203119.Cthe_2552	8.30E-240	784.1					"08NV2@bactNOG,0F5JP@cloNOG,0NENA@firmNOG,0ZWUW@NOG"	08NV2|2.03413569908e-129|434.500366211	S	radical SAM domain protein
WP_003513072.1	203119.Cthe_2548	0	1173.7	ABFA		K01209	"ABFA,LAAF"	"05CZZ@bactNOG,0EPJZ@cloNOG,0NEWG@firmNOG,COG3534@NOG"	05CZZ|2.31540628298e-153|514.971313477	G	Alpha-N-arabinofuranosidase (EC 3.2.1.55)
WP_003513078.1	509191.AcelC_020100016040	2.30E-63	201.6			K03088		"07YQT@bactNOG,0NHSZ@firmNOG,COG1595@NOG"	07YQT|6.21715663843e-66|224.728561401	K	Sigma-70 region 2 
WP_003513083.1	203119.Cthe_2542	1.00E-52	168	SIRA		K04085		"05KPB@bactNOG,0EUAD@cloNOG,0NKY1@firmNOG,11UB9@NOG"	05KPB|4.24253551901e-30|106.705070496	S	"redox protein, regulator of disulfide bond"
WP_003513085.1	203119.Cthe_2541	9.70E-204	667.9					"07QUN@bactNOG,0EPW2@cloNOG,0NED9@firmNOG,COG2221@NOG"	07QUN|2.09645686685e-106|358.31463623	C	Sulfite reductase
WP_003513087.1	203119.Cthe_2540	6.90E-94	304.5	MEC	"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006534,GO:0006535,GO:0006563,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008235,GO:0008237,GO:0008238,GO:0008270,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009987,GO:0016053,GO:0016787,GO:0019344,GO:0019752,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044711,GO:0046394,GO:0046872,GO:0046914,GO:0070011,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607"			"08UKM@bactNOG,0ETM1@cloNOG,0NJWS@firmNOG,COG1310@NOG"	08UKM|5.86127497935e-53|181.372528076	S	mov34 mpn pad-1 family protein
WP_003513089.1	545695.TREAZ_1730	7.30E-153	495.9			K11996		"08DFD@bactNOG,1AR41@spiNOG,COG0476@NOG"	08DFD|1.64972952544e-140|470.891113281	H	Uba ThiF-type NAD FAD-binding protein
WP_003513095.1	203119.Cthe_2536	6.30E-210	691.1	CYSD		"K00390,K00957"		"05C11@bactNOG,0EP7E@cloNOG,0NDG5@firmNOG,COG0175@NOG"	05C11|1.78609509956e-121|406.533752441	P	"sulfate adenylyltransferase), subunit 2"
WP_003513096.1	203119.Cthe_2535	7.00E-169	554.9	CYSH	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K00390		"05ET3@bactNOG,0EQ0D@cloNOG,0NEWS@firmNOG,COG0175@NOG"	05ET3|1.64293280717e-90|306.740753174	P	Reduction of activated sulfate into sulfite (By similarity)
WP_003513098.1	573061.Clocel_2869	1.20E-84	282.2	POTA	"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015203,GO:0015399,GO:0015405,GO:0015417,GO:0015695,GO:0015846,GO:0015847,GO:0015848,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017076,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0022891,GO:0022892,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071702,GO:0071704,GO:0071705,GO:0071944,GO:0072521,GO:0072523,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658,GO:1902047"	"K02052,K11072"	"PTRCabc,PTRCabcpp,SPMDabc,SPMDabcpp"	"05C53@bactNOG,0EP48@cloNOG,0NDIN@firmNOG,COG3842@NOG"	05C53|2.9700318866e-142|478.767944336	E	Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system (By similarity)
WP_003513100.1	203119.Cthe_2532	2.20E-184	606.2	CYST	"GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0016020,GO:0044464,GO:0051179,GO:0051234,GO:0071944"	"K02046,K15496"	"CRO4abcpp,MOBDabcpp,SO3abcpp,SULabcpp,TSULabcpp"	"08I5D@bactNOG,0F6ZH@cloNOG,0P648@firmNOG,COG0555@NOG"	08I5D|1.56208343184e-129|433.857696533	P	sulfate abc transporter
WP_003513101.1	203119.Cthe_2531	2.60E-242	798.3	SBP	"GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006790,GO:0006810,GO:0008150,GO:0008152,GO:0009987,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0042597,GO:0043167,GO:0043168,GO:0043199,GO:0044237,GO:0044462,GO:0044464,GO:0051179,GO:0051234,GO:0071944,GO:1901681"	K02048	"CRO4abcpp,MOBDabcpp,SO3abcpp,SULabc,SULabcpp,TSULabc,TSULabcpp"	"05DE7@bactNOG,0EPIY@cloNOG,0NFD1@firmNOG,COG1613@NOG"	05DE7|4.88339623141e-176|588.93359375	P	Sulfate ABC transporter periplasmic sulfate-binding protein
WP_003513104.1	203119.Cthe_2530	3.50E-289	950.8	HEML	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006725,GO:0006778,GO:0006779,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016020,GO:0016853,GO:0016866,GO:0016869,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0040007,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:0071944,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	K01845	"ABTA,G1SAT"	"05CDM@bactNOG,0EP21@cloNOG,0NDRT@firmNOG,COG0001@NOG"	0EP21|3.09823212346e-212|707.754516602	H	Glutamate-1-semialdehyde aminotransferase
WP_003513106.1	203119.Cthe_2529	1.90E-219	723	HEMB	"GO:0003674,GO:0003824,GO:0004655,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016829,GO:0016835,GO:0016836,GO:0018130,GO:0019438,GO:0030312,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:0071944,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	K01698	PPBNGS	"05D52@bactNOG,0ENXU@cloNOG,0NDK7@firmNOG,COG0113@NOG"	05D52|2.06185112073e-142|477.275939941	H	delta-aminolevulinic acid dehydratase
