ProeinID	KO_terms	KEGG_Term	Score	Second best	
WP_003513072.1	K01209	abfA; alpha-N-arabinofuranosidase [EC:3.2.1.55]	487		
WP_003513074.1			15	K00761	1
WP_003513076.1			8	K01023	1
WP_003513078.1	K03088	"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"	54		
WP_003513083.1			35	K04085	2
WP_003513085.1			195		
WP_003513087.1	K21140	mec; [CysO sulfur-carrier protein]-S-L-cysteine hydrolase [EC:3.13.1.6]	78		
WP_003513089.1			219		
WP_003513095.1	K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	257		
WP_003513096.1	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	155		
WP_003513098.1	K02045	cysA; sulfate transport system ATP-binding protein [EC:3.6.3.25]	244		
WP_003513100.1	K02046	cysU; sulfate transport system permease protein	196		
WP_003513101.1	K02048	cysP; sulfate transport system substrate-binding protein	235		
WP_003513104.1	K01845	"hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"	273		
WP_003513106.1	K01698	hemB; porphobilinogen synthase [EC:4.2.1.24]	280		
WP_003513108.1	K13542	cobA-hemD; uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]	263		
WP_003513110.1	K01749	hemC; hydroxymethylbilane synthase [EC:2.5.1.61]	159		
WP_003513114.1	K02492	hemA; glutamyl-tRNA reductase [EC:1.2.1.70]	111		
WP_003513117.1			62		
WP_003513122.1	K03093	sigI; RNA polymerase sigma factor	81		
WP_003513124.1			22	K02224	1
WP_003513126.1	K01649	leuA; 2-isopropylmalate synthase [EC:2.3.3.13]	487		
WP_003513128.1	K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	245		
WP_003513130.1	K01653	E2.2.1.6S; acetolactate synthase I/III small subunit [EC:2.2.1.6]	109		
WP_003513132.1	K01652	E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	332		
WP_003513133.1			56	K01487	17
WP_003513135.1			9	K06972	1
WP_003513137.1			148	K04771	11
WP_003513139.1			44		
WP_003513141.1	K22044	ybiO; moderate conductance mechanosensitive channel	107		
WP_003513145.1	K03169	topB; DNA topoisomerase III [EC:5.99.1.2]	397		
WP_003513147.1	K06436	yabG; spore coat assemly protein	124		
WP_003513153.1			14	K02936	1
WP_003513155.1			76		
WP_003513157.1			5	K01874	1
WP_003513159.1	K11991	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]	85		
WP_003513162.1			163	K01224	2
WP_003513164.1			51		
WP_003513166.1	K08602	pepF; oligoendopeptidase F [EC:3.4.24.-]	396		
WP_003513173.1			22	K22305	16
WP_003513175.1	K10440	rbsC; ribose transport system permease protein	178		
WP_003513182.1	K00008	SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14]	176		
WP_003513185.1	K00615	E2.2.1.1; transketolase [EC:2.2.1.1]	157		
WP_003513187.1	K00615	E2.2.1.1; transketolase [EC:2.2.1.1]	130		
WP_003513190.1			22	K02444	9
WP_003513193.1			45	K12256	1
WP_003513195.1			34	K03828	1
WP_003513200.1	K00891	E2.7.1.71; shikimate kinase [EC:2.7.1.71]	78		
WP_003513202.1			7	K03406	1
WP_003513203.1	K03616	rnfB; electron transport complex protein RnfB	132		
WP_003513205.1	K03617	rnfA; electron transport complex protein RnfA	146		
WP_003513207.1	K03612	rnfG; electron transport complex protein RnfG	66		
WP_003513209.1	K03614	rnfD; electron transport complex protein RnfD	173		
WP_003513218.1			131		
WP_003513219.1	K02493	hemK; release factor glutamine methyltransferase [EC:2.1.1.297]	131		
WP_003513220.1			181		
WP_003513222.1	K02556	motA; chemotaxis protein MotA	140		
WP_003513231.1			52	K01076	1
WP_003513233.1			14	K02926	1
WP_003513238.1	K02315	dnaC; DNA replication protein DnaC	140		
WP_003513240.1			174	K06313	35
WP_003513241.1	K01449	cwlJ; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	81		
WP_003513246.1			102		
WP_003513248.1	K03547	sbcD; DNA repair protein SbcD/Mre11	32		
WP_003513250.1			32	K06102	1
WP_003513251.1	K03969	pspA; phage shock protein A	14		
WP_003513253.1	K03409	cheX; chemotaxis protein CheX	15		
WP_003513254.1			3	K07213	2
WP_003513261.1	K00919	ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	185		
WP_003513265.1			67		
WP_003513270.1			19	K06331	11
WP_003513273.1			29	K07010	1
WP_003513275.1			8	K22299	1
WP_003513277.1			52	K07706	1
WP_003513278.1	K07800	agrD; AgrD protein	10		
WP_003513279.1	K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	335		
WP_003513282.1	K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	214		
WP_003513284.1	K06317	bofA; inhibitor of the pro-sigma K processing machinery	27		
WP_003513286.1			10	K09117	1
WP_003513294.1			36		
WP_003513296.1			27	K01448	1
WP_003513299.1			146		
WP_003513301.1	K01875	SARS; seryl-tRNA synthetase [EC:6.1.1.11]	320		
WP_003513303.1			10	K05807	1
WP_003513304.1			53		
WP_003513306.1	K03497	"parB; chromosome partitioning protein, ParB family"	151		
WP_003513308.1	K03496	parA; chromosome partitioning protein	194		
WP_003513331.1	K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]	448		
WP_003513333.1			37		
WP_003513335.1	K03629	recF; DNA replication and repair protein RecF	176		
WP_003513337.1	K14761	ybcJ; ribosome-associated protein	30		
WP_003513339.1	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	223		
WP_003513349.1	K02914	RP-L34; large subunit ribosomal protein L34	44		
WP_003513352.1	K03536	rnpA; ribonuclease P protein component [EC:3.1.26.5]	37		
WP_003513354.1	K08998	uncharacterized protein	64		
WP_003513356.1	K03217	yidC; YidC/Oxa1 family membrane protein insertase	68		
WP_003513361.1	K03495	gidA; tRNA uridine 5-carboxymethylaminomethyl modification enzyme	455		
WP_003513362.1	K03501	gidB; 16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]	134		
WP_003513363.1	K03497	"parB; chromosome partitioning protein, ParB family"	158		
WP_003513364.1	K02469	gyrA; DNA gyrase subunit A [EC:5.99.1.3]	550		
WP_003513365.1			271	K01179	90
WP_003513366.1	K08722	yfbR; 5'-deoxynucleotidase [EC:3.1.3.89]	110		
WP_003513367.1	K07813	agrB; accessory gene regulator B	30		
WP_003513368.1			18	K07497	1
WP_003513369.1	K03517	nadA; quinolinate synthase [EC:2.5.1.72]	202		
WP_003513371.1	K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]	287		
WP_003513372.1	K00767	nadC; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	168		
WP_003513374.1			10	K01046	2
WP_003513376.1			88		
WP_003513378.1			9	K17581	1
WP_003513380.1	K01449	cwlJ; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	31		
WP_003513382.1	K06423	sspF; small acid-soluble spore protein F (minor alpha/beta-type SASP)	44		
WP_003513385.1			103		
WP_003513387.1			294		
WP_003513388.1			128	K15915	10
WP_003513389.1			13	K03789	2
WP_003513399.1			144		
WP_003513400.1	K02474	wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]	313		
WP_003513402.1			28	K19002	1
WP_003513404.1			51	K14335	1
WP_003513407.1			83	K12040	1
WP_003513411.1			217		
WP_003513413.1			343		
WP_003513415.1			19	K02169	1
WP_003513418.1	K07668	"vicR; two-component system, OmpR family, response regulator VicR"	207		
WP_003513419.1	K07652	"vicK; two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]"	254		
WP_003513420.1			29	K07558	1
WP_003513421.1			75	K13894	1
WP_003513422.1			20	K14161	1
WP_003513423.1	K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	297		
WP_003513424.1			163		
WP_003513428.1			27	K20379	1
WP_003513430.1			17	K14475	1
WP_003513433.1			9	K01448	1
WP_003513436.1			118	K13566	19
WP_003513438.1	K03409	cheX; chemotaxis protein CheX	59		
WP_003513449.1	K07216	hemerythrin	60		
WP_003513451.1	K06153	bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]	191		
WP_003513452.1			190		
WP_003513453.1	K19091	cas6; CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]	108		
WP_003513454.1			97	K01921	1
WP_003513455.1	K19075	cst2; CRISPR-associated protein Cst2	158		
WP_003513458.1	K07464	cas4; CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	129		
WP_003513460.1	K15342	cas1; CRISP-associated protein Cas1	239		
WP_003513463.1	K09951	cas2; CRISPR-associated protein Cas2	51		
WP_003513465.1			1	K17887	1
WP_003513467.1	K01990	ABC-2.A; ABC-2 type transport system ATP-binding protein	109		
WP_003513469.1			50	K07315	1
WP_003513471.1	K06910	uncharacterized protein	17		
WP_003513473.1			16	K07720	2
WP_003513475.1			107		
WP_003513487.1	K03412	"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"	173		
WP_003513490.1	K02028	ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:3.6.3.21]	157		
WP_003513493.1	K02029	ABC.PA.P; polar amino acid transport system permease protein	51	K02029/K02030	7
WP_003513496.1			33	K06880	1
WP_003513498.1	K03798	ftsH; cell division protease FtsH [EC:3.4.24.-]	59		
WP_003513499.1			3	K07192	1
WP_003513505.1			168		
WP_003513507.1			6	K20628	1
WP_003513509.1	K18231	msrA; macrolide transport system ATP-binding/permease protein	255		
WP_003513513.1	K02118	ATPVB; V/A-type H+/Na+-transporting ATPase subunit B	389		
WP_003513515.1	K02117	ATPVA; V/A-type H+/Na+-transporting ATPase subunit A [EC:3.6.3.14 3.6.3.15]	455		
WP_003513521.1	K02121	ATPVE; V/A-type H+/Na+-transporting ATPase subunit E	63		
WP_003513523.1	K02124	ATPVK; V/A-type H+/Na+-transporting ATPase subunit K	105		
WP_003513527.1	K04518	pheA2; prephenate dehydratase [EC:4.2.1.51]	139		
WP_003513529.1			32	K01381	1
WP_003513533.1			346		
WP_003513534.1	K02939	RP-L9; large subunit ribosomal protein L9	79		
WP_003513535.1	K02314	dnaB; replicative DNA helicase [EC:3.6.4.12]	324		
WP_003513536.1	K04075	tilS; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]	215		
WP_003513545.1	K00760	hprT; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	124		
WP_003513547.1	K03798	ftsH; cell division protease FtsH [EC:3.4.24.-]	390		
WP_003513548.1			84		
WP_003513552.1			8	K00721	1
WP_003513562.1	K03581	recD; exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	421		
WP_003513564.1			51		
WP_003513565.1	K02398	flgM; negative regulator of flagellin synthesis FlgM	19		
WP_003513566.1			37		
WP_003513572.1	K02397	flgL; flagellar hook-associated protein 3 FlgL	149		
WP_003513574.1			101		
WP_003513575.1	K13626	fliW; flagellar assembly factor FliW	107		
WP_003513578.1	K03563	csrA; carbon storage regulator	36		
WP_003513581.1	K02406	fliC; flagellin	176		
WP_003513583.1	K02406	fliC; flagellin	175		
WP_003513585.1			140		
WP_003513587.1			14	K00613	1
WP_003513588.1			154		
WP_003513590.1			196		
WP_003513592.1			15	K03183	3
WP_003513594.1	K07257	spsF; spore coat polysaccharide biosynthesis protein SpsF	138		
WP_003513600.1			27	K15896	3
WP_003513602.1	K02078	acpP; acyl carrier protein	23		
WP_003513604.1			218		
WP_003513605.1	K05606	MCEE; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	25		
WP_003513610.1			162		
WP_003513611.1			153		
WP_003513613.1			263		
WP_003513615.1			235		
WP_003513619.1	K02407	fliD; flagellar hook-associated protein 2	142		
WP_003513620.1	K02422	fliS; flagellar protein FliS	77		
WP_003513622.1			19	K03788	1
WP_003513624.1	K03284	corA; magnesium transporter	228		
WP_003513628.1			80		
WP_003513630.1			68	K07720	1
WP_003513635.1	K01703	leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	456		
WP_003513639.1	K00052	leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	338		
WP_003513643.1	K01305	iadA; beta-aspartyl-dipeptidase (metallo-type) [EC:3.4.19.-]	196		
WP_003513644.1			8	K16075	1
WP_003513646.1	K13282	cphB; cyanophycinase [EC:3.4.15.6]	157		
WP_003513649.1	K01495	GCH1; GTP cyclohydrolase IA [EC:3.5.4.16]	162		
WP_003513652.1			16	K17925	1
WP_003513657.1	K01190	lacZ; beta-galactosidase [EC:3.2.1.23]	307		
WP_003513660.1			231		
WP_003513667.1			81	K15921	4
WP_003513671.1			29	K06196	1
WP_003513674.1	K00700	"GBE1; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"	482		
WP_003513676.1	K01443	nagA; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]	224		
WP_003513680.1	K02990	RP-S6; small subunit ribosomal protein S6	53		
WP_003513683.1	K03111	ssb; single-strand DNA-binding protein	76		
WP_003513685.1	K02963	RP-S18; small subunit ribosomal protein S18	38		
WP_003513688.1	K07058	membrane protein	152		
WP_003513691.1	K00963	UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	213		
WP_003513693.1			371		
WP_003513703.1			5	K02428	1
WP_003513706.1			23	K12373	
WP_003513709.1			52		
WP_003513713.1	K03628	rho; transcription termination factor Rho	205		
WP_003513736.1			29	K07730	1
WP_003513744.1			13	K02027	1
WP_003513756.1			17	K01448	2
WP_003513758.1			26	K02016	1
WP_003513762.1			22	K06556	1
WP_003513763.1			83	K06862	1
WP_003513765.1	K01181	"E3.2.1.8; endo-1,4-beta-xylanase [EC:3.2.1.8]"	183		
WP_003513767.1	K01012	bioB; biotin synthase [EC:2.8.1.6]	244		
WP_003513773.1	K01740	metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	354		
WP_003513777.1			74		
WP_003513780.1	K00641	metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	240		
WP_003513782.1			199		
WP_003513783.1			114	K02483	25
WP_003513786.1	K17686	copA; Cu+-exporting ATPase [EC:3.6.3.54]	453		
WP_003513789.1			13	K09005	1
WP_003513790.1			56		
WP_003513792.1	K04083	hslO; molecular chaperone Hsp33	220		
WP_003513794.1	K03704	"cspA; cold shock protein (beta-ribbon, CspA family)"	57		
WP_003513807.1			14	K06423	5
WP_003513808.1	K03797	E3.4.21.102; carboxyl-terminal processing protease [EC:3.4.21.102]	164		
WP_003513811.1			155		
WP_003513814.1	K09811	ftsX; cell division transport system permease protein	123		
WP_003513817.1	K02647	cdaR; carbohydrate diacid regulator	194		
WP_003513819.1	K10112	msmX; multiple sugar transport system ATP-binding protein	290		
WP_003513824.1			69	K03296	1
WP_003513825.1	K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	231		
WP_003513826.1	K01956	carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	267		
WP_003513827.1	K01955	carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	704		
WP_003513828.1	K00611	OTC; ornithine carbamoyltransferase [EC:2.1.3.3]	217		
WP_003513829.1			30		
WP_003513833.1			9	K14428	
WP_003513834.1			27	K10947	6
WP_003513837.1	K07098	uncharacterized protein	119		
WP_003513840.1			13	K14638	1
WP_003513844.1					
WP_003513846.1			12	K22278	6
WP_003513854.1			32	K18101	7
WP_003513857.1			127		
WP_003513859.1			132		
WP_003513861.1	K07491	putative transposase	172		
WP_003513862.1			120		
WP_003513863.1			135		
WP_003513874.1			11	K05991	1
WP_003513878.1			137		
WP_003513880.1	K01537	E3.6.3.8; Ca2+-transporting ATPase [EC:3.6.3.8]	516		
WP_003513882.1			331		
WP_003513884.1	K07507	mgtC; putative Mg2+ transporter-C (MgtC) family protein	109		
WP_003513886.1	K06387	spoIIR; stage II sporulation protein R	75		
WP_003513888.1			37	K10947	13
WP_003513891.1	K01937	pyrG; CTP synthase [EC:6.3.4.2]	417		
WP_003513895.1			33	K11755	1
WP_003513902.1	K03797	E3.4.21.102; carboxyl-terminal processing protease [EC:3.4.21.102]	190		
WP_003513904.1			248		
WP_003513908.1			118		
WP_003513910.1	K07052	uncharacterized protein	13		
WP_003513911.1	K01887	RARS; arginyl-tRNA synthetase [EC:6.1.1.19]	368		
WP_003513913.1			58		
WP_003513915.1	K01776	murI; glutamate racemase [EC:5.1.1.3]	187		
WP_003513925.1			12		
WP_003513929.1	K01619	deoC; deoxyribose-phosphate aldolase [EC:4.1.2.4]	117		
WP_003513930.1	K09776	uncharacterized protein	101		
WP_003513932.1	K00384	trxB; thioredoxin reductase (NADPH) [EC:1.8.1.9]	136		
WP_003513934.1	K00384	trxB; thioredoxin reductase (NADPH) [EC:1.8.1.9]	155		
WP_003513937.1			34	K06196	5
WP_003513940.1	K06196	ccdA; cytochrome c-type biogenesis protein	87		
WP_003513944.1			5	K00721	1
WP_003513945.1			15	K01421	1
WP_003513946.1			10	K09014	1
WP_003513948.1			42	K21989	1
WP_003513950.1	K00917	lacC; tagatose 6-phosphate kinase [EC:2.7.1.144]	134		
WP_003513951.1	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein	59	K10240	5
WP_003513952.1			10	K04257	1
WP_003513953.1			117	K13281	46
WP_003513954.1			101		
WP_003513955.1			33		
WP_003513956.1	K16881	mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8]	438		
WP_003513957.1	K06179	rluC; 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]	129		
WP_003513961.1	K03387	ahpF; alkyl hydroperoxide reductase subunit F [EC:1.6.4.-]	392		
WP_003513964.1	K03386	PRDX2_4; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]	158		
WP_003513973.1			8	K03466	8
WP_003513987.1	K03466	"ftsK; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family"	73		
WP_003513988.1			25	K06158	1
WP_003513989.1			8	K18532	1
WP_003513990.1			11	K07755	1
WP_003513991.1			7	K19092	1
WP_003513992.1			13	K03350	1
WP_003513993.1			5	K21110	1
WP_003513995.1			20	K09610	
WP_003514024.1			32	K06919	3
WP_003514025.1			15	K12055	1
WP_003514026.1			23	K07053	1
WP_003514043.1					
WP_003514047.1					
WP_003514075.1			7	K02071	1
WP_003514077.1			8	K15011	1
WP_003514081.1	K07045	uncharacterized protein	56		
WP_003514085.1			25	K01179	1
WP_003514092.1			26	K06217	1
WP_003514093.1			70	K11125	1
WP_003514095.1			5	K02501	1
WP_003514102.1			120		
WP_003514104.1			36	K07200	1
WP_003514106.1			22	K19134	8
WP_003514108.1			11	K09002	7
WP_003514110.1			9	K19076	2
WP_003514112.1			27	K00053	1
WP_003514114.1			114		
WP_003514117.1			172		
WP_003514120.1	K03091	sigH; RNA polymerase sporulation-specific sigma factor	164		
WP_003514124.1	K03218	rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]	165		
WP_003514126.1	K11145	ribonuclease III family protein [EC:3.1.26.-]	72		
WP_003514128.1					
WP_003514130.1			19	K06311	11
WP_003514134.1	K01883	CARS; cysteinyl-tRNA synthetase [EC:6.1.1.16]	329		
WP_003514136.1			29	K08972	2
WP_003514141.1			131		
WP_003514144.1			143		
WP_003514146.1			116		
WP_003514148.1			126		
WP_003514151.1			92	K01436	49
WP_003514153.1	K09779	uncharacterized protein	31		
WP_003514158.1			213		
WP_003514161.1			51	K11527	3
WP_003514163.1	K06929	uncharacterized protein	56		
WP_003514166.1	K03100	lepB; signal peptidase I [EC:3.4.21.89]	129		
WP_003514168.1			30	K18445	1
WP_003514173.1	K02346	dinB; DNA polymerase IV [EC:2.7.7.7]	243		
WP_003514175.1	K01520	dut; dUTP pyrophosphatase [EC:3.6.1.23]	83		
WP_003514180.1			110		
WP_003514181.1	K09888	zapA; cell division protein ZapA	18		
WP_003514185.1					
WP_003514187.1			9	K04651	1
WP_003514192.1	K02528	ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	158		
WP_003514194.1			141		
WP_003514196.1			63	K19346	
WP_003514198.1	K03424	tatD; TatD DNase family protein [EC:3.1.21.-]	164		
WP_003514203.1	K16188	ytpB; tetraprenyl-beta-curcumene synthase [EC:4.2.3.130]	124		
WP_003514204.1	K06374	spmB; spore maturation protein B	109		
WP_003514206.1	K06373	spmA; spore maturation protein A	149		
WP_003514207.1	K06284	abrB; transcriptional pleiotropic regulator of transition state genes	64		
WP_003514209.1	K07056	rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]	176		
WP_003514211.1			126	K15460	27
WP_003514213.1			37		
WP_003514215.1			198		
WP_003514216.1	K02341	holB; DNA polymerase III subunit delta' [EC:2.7.7.7]	141		
WP_003514217.1	K09770	uncharacterized protein	39		
WP_003514218.1	K00943	tmk; dTMP kinase [EC:2.7.4.9]	132	K01585	5
WP_003514219.1			84	K01585	48
WP_003514220.1			6	K11841	1
WP_003514222.1	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	143		
WP_003514223.1	K02004	ABC.CD.P; putative ABC transport system permease protein	180		
WP_003514224.1			108		
WP_003514225.1			118		
WP_003514226.1			60		
WP_003514228.1			238		
WP_003514229.1			139		
WP_003514230.1			106		
WP_003514231.1	K03093	sigI; RNA polymerase sigma factor	71		
WP_003514235.1			11	K02005	6
WP_003514242.1			2	K00625	1
WP_003514245.1			27		
WP_003514246.1			63		
WP_003514254.1			4	K06910	2
WP_003514256.1	K01129	dgt; dGTPase [EC:3.1.5.1]	178		
WP_003514291.1	K06187	recR; recombination protein RecR	157		
WP_003514292.1	K09747	uncharacterized protein	70		
WP_003514293.1	K02343	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	247		
WP_003514302.1	K07590	RP-L7A; large subunit ribosomal protein L7A	35		
WP_003514304.1	K02950	RP-S12; small subunit ribosomal protein S12	157		
WP_003514305.1	K02992	RP-S7; small subunit ribosomal protein S7	135		
WP_003514309.1	K02358	tuf; elongation factor Tu	335		
WP_003514311.1	K03088	"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"	67		
WP_003514313.1			19	K07240	1
WP_003514315.1	K11189	PTS-HPR; phosphocarrier protein	52		
WP_003514317.1	K03703	uvrC; excinuclease ABC subunit C	363		
WP_003514320.1	K07099	uncharacterized protein	172		
WP_003514322.1	K03545	tig; trigger factor	232		
WP_003514324.1	K01358	"clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"	185		
WP_003514326.1	K03544	clpX; ATP-dependent Clp protease ATP-binding subunit ClpX	333		
WP_003514331.1	K01409	KAE1; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]	235		
WP_003514333.1			65		
WP_003514336.1			34	K17837	1
WP_003514338.1			8	K09145	6
WP_003514339.1	K07053	"E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"	162		
WP_003514341.1	K03664	smpB; SsrA-binding protein	111		
WP_003514372.1			10	K08992	1
WP_003514374.1			22	K08489	1
WP_003514375.1			57	K02238	20
WP_003514376.1			33		
WP_003514377.1			65		
WP_003514378.1			197		
WP_003514381.1	K13653	AraC family transcriptional regulator	237		
WP_003514383.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	78		
WP_003514386.1			27	K07133	1
WP_003514395.1			406	K01090	127
WP_003514399.1	K21562	"flp; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"	109		
WP_003514433.1			192		
WP_003514437.1	K02049	ABC.SN.A; NitT/TauT family transport system ATP-binding protein	113		
WP_003514439.1	K02050	ABC.SN.P; NitT/TauT family transport system permease protein	80		
WP_003514440.1	K01912	paaK; phenylacetate-CoA ligase [EC:6.2.1.30]	293		
WP_003514453.1			7	K00441	1
WP_003514456.1	K09022	ridA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	84		
WP_003514458.1	K01739	metB; cystathionine gamma-synthase [EC:2.5.1.48]	259		
WP_003514463.1	K02051	ABC.SN.S; NitT/TauT family transport system substrate-binding protein	172		
WP_003514465.1	K02050	ABC.SN.P; NitT/TauT family transport system permease protein	184		
WP_003514467.1	K02049	ABC.SN.A; NitT/TauT family transport system ATP-binding protein	122		
WP_003514472.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	149		
WP_003514478.1	K02529	lacI; LacI family transcriptional regulator	42		
WP_003514483.1	K01218	"gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"	148		
WP_003514493.1	K03408	cheW; purine-binding chemotaxis protein CheW	44		
WP_003514500.1	K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	102		
WP_003514503.1	K03412	"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"	157		
WP_003514505.1			154		
WP_003514543.1	K03699	tlyC; putative hemolysin	249		
WP_003514545.1			75		
WP_003514552.1	K05808	yhbH; putative sigma-54 modulation protein	101		
WP_003514554.1	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	426		
WP_003514556.1			18	K01081	1
WP_003514559.1			6	K20344	2
WP_003514562.1			53	K15921	1
WP_003514572.1	K02502	hisZ; ATP phosphoribosyltransferase regulatory subunit	182		
WP_003514573.1	K00765	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]	149		
WP_003514575.1	K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	301		
WP_003514577.1	K01693	hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	197		
WP_003514578.1	K01923	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	239		
WP_003514580.1	K01814	hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	141		
WP_003514581.1	K02500	hisF; cyclase [EC:4.1.3.-]	197		
WP_003514582.1	K11755	hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]	122		
WP_003514583.1			166		
WP_003514587.1	K04078	groES; chaperonin GroES	70		
WP_003514589.1	K04077	groEL; chaperonin GroEL	490		
WP_003514597.1			17	K02282	1
WP_003514599.1			25	K11863	1
WP_003514601.1			224		
WP_003514606.1	K03624	greA; transcription elongation factor GreA	111		
WP_003514607.1	K04749	rsbV; anti-sigma B factor antagonist	53		
WP_003514612.1	K03090	sigB; RNA polymerase sigma-B factor	132		
WP_003514614.1	K04757	rsbW; serine/threonine-protein kinase RsbW [EC:2.7.11.1]	16		
WP_003514618.1	K02946	RP-S10; small subunit ribosomal protein S10	111		
WP_003514621.1	K02906	RP-L3; large subunit ribosomal protein L3	189		
WP_003514623.1	K02926	RP-L4; large subunit ribosomal protein L4	146		
WP_003514625.1	K02892	RP-L23; large subunit ribosomal protein L23	35		
WP_003514630.1	K02965	RP-S19; small subunit ribosomal protein S19	83		
WP_003514635.1	K02982	RP-S3; small subunit ribosomal protein S3	165		
WP_003514637.1	K02878	RP-L16; large subunit ribosomal protein L16	171		
WP_003514639.1	K02904	RP-L29; large subunit ribosomal protein L29	38		
WP_003514641.1	K02961	RP-S17; small subunit ribosomal protein S17	84		
WP_003514643.1	K02874	RP-L14; large subunit ribosomal protein L14	150		
WP_003514645.1	K02895	RP-L24; large subunit ribosomal protein L24	56		
